Collection,Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google selfuct Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
,neen-drawstring-black-black,NEEN DRAWSTRING PANTS - BLACK,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>70 cotton 30 poly rayon viscose spandex athletic denim Elastic waistband w drawstring Drawstring on leg cuffs Velcro front pocket Crotch gusset Ultra stretch comfort CFADC Artist Neen Williams</sectionBody></section><section id=""2""><sectionTitle>Size &amp;amp; Fit</sectionTitle><sectionBody>Click buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp;amp; Returns</sectionTitle><sectionBody>Free shipping on U.S. orders over $100. You can return unworn and unused clothes to our warehouse within 30 days from point of purchase for a refund or store credit.</sectionBody></section><sizes><size instock=""false""><string>S</string><variant>29416340422739</variant></size><size instock=""false""><string>M</string><variant>29416340455507</variant></size><size instock=""true""><string>L</string><variant>29416340488275</variant></size><size instock=""true""><string>XL</string><variant>29416340521043</variant></size></sizes></sections>",Altamont-men,non-denim pants,"industry:Apparel, altamont-apparel, new-arrivals, 001, o-fa19, pants",,Title,Default Title,Link,https://altamontapparel.com/products/neen-drawstring-black?variant=29416340422739,,,,454,,deny,manual,45.99,65.00,True,True,,https://cdn.shopify.com/s/files/1/1954/8003/products/NEEN-SLACKS-F.jpg?v=1570729221,1,,FALSE,,,,,,,,,,,,,,,,,,,
,neen-drawstring-black-black,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1954/8003/products/NEEN-SLACKS-B.jpg?v=1570729221,2
,lay-pant-sage-sage,LAY PANT - SAGE,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>Widest fitting pant w pleated waist Custom trim and embroidery Welted back pockets w bottons Sewn in cell phone pocket Custom artwork details by Worful Team Pro amp CFADC Artist Ryan Lay</sectionBody></section><section id=""2""><sectionTitle>Size &amp;amp; Fit</sectionTitle><sectionBody>Click buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp;amp; Returns</sectionTitle><sectionBody>Free shipping on U.S. orders over $100. You can return unworn and unused clothes to our warehouse within 30 days from point of purchase for a refund or store credit.</sectionBody></section><sizes><size instock=""true""><string>28</string><variant>29416339406931</variant></size><size instock=""true""><string>29</string><variant>29416339439699</variant></size><size instock=""true""><string>30</string><variant>29416339472467</variant></size><size instock=""false""><string>31</string><variant>29416339505235</variant></size><size instock=""true""><string>32</string><variant>29416339538003</variant></size><size instock=""true""><string>33</string><variant>29416339570771</variant></size><size instock=""true""><string>34</string><variant>29416339603539</variant></size><size instock=""false""><string>36</string><variant>29416339636307</variant></size><size instock=""false""><string>38</string><variant>29416339669075</variant></size></sizes></sections>",Altamont-men,non-denim pants,"industry:Apparel, altamont-apparel, new-arrivals, 330, o-fa19, pants",,Title,Default Title,Link,https://altamontapparel.com/products/lay-pant-sage?variant=29416339406931,,,,499,,deny,manual,40.99,59.00,True,True,,https://cdn.shopify.com/s/files/1/1954/8003/products/3130002622-330-F.jpg?v=1567626867,1,,FALSE,,,,,,,,,,,,,,,,,,,
,lay-pant-sage-sage,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1954/8003/products/LAY-PANT---B.jpg?v=1571089196,2
,lay-pant-stain-black-stain-black,LAY PANT - STAIN BLACK,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>Widest fitting pant w pleated waist Custom trim and embroidery Welted back pockets w bottons Sewn in cell phone pocket Custom artwork details by Worful Team Pro amp CFADC Artist Ryan Lay</sectionBody></section><section id=""2""><sectionTitle>Size &amp;amp; Fit</sectionTitle><sectionBody>Click buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp;amp; Returns</sectionTitle><sectionBody>Free shipping on U.S. orders over $100. You can return unworn and unused clothes to our warehouse within 30 days from point of purchase for a refund or store credit.</sectionBody></section><sizes><size instock=""true""><string>28</string><variant>29416339701843</variant></size><size instock=""false""><string>29</string><variant>29416339734611</variant></size><size instock=""true""><string>30</string><variant>29416339767379</variant></size><size instock=""false""><string>31</string><variant>29416339800147</variant></size><size instock=""true""><string>32</string><variant>29416339832915</variant></size><size instock=""false""><string>33</string><variant>29416339865683</variant></size><size instock=""false""><string>34</string><variant>29416339898451</variant></size><size instock=""false""><string>36</string><variant>29416339931219</variant></size><size instock=""false""><string>38</string><variant>29416339963987</variant></size></sizes></sections>",Altamont-men,non-denim pants,"industry:Apparel, altamont-apparel, new-arrivals, 762, o-fa19, pants",,Title,Default Title,Link,https://altamontapparel.com/products/lay-pant-stain-black?variant=29416339701843,,,,476,,deny,manual,40.99,59.00,True,True,,https://cdn.shopify.com/s/files/1/1954/8003/products/3130002622-762-F.jpg?v=1567626960,1,,FALSE,,,,,,,,,,,,,,,,,,,
,lay-pant-stain-black-stain-black,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1954/8003/products/3130002622-762-B.jpg?v=1567626960,2
,a-969-chino-sage-sage,A/969 CHINO - SAGE,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>Slim straight fit fit chart 98 cotton 2 spandex twill chino Custom 969 woven label package and fit branded detailing Embossed Altamont tonal back waistband patch A embroidery on left front pocket Triple stitched for durability Shoe lace belt loops Zipper fly</sectionBody></section><section id=""2""><sectionTitle>Size &amp;amp; Fit</sectionTitle><sectionBody>Click buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp;amp; Returns</sectionTitle><sectionBody>Free shipping on U.S. orders over $100. You can return unworn and unused clothes to our warehouse within 30 days from point of purchase for a refund or store credit.</sectionBody></section><sizes><size instock=""false""><string>28</string><variant>29416336293971</variant></size><size instock=""false""><string>29</string><variant>29416336326739</variant></size><size instock=""true""><string>30</string><variant>29416336359507</variant></size><size instock=""false""><string>31</string><variant>29416336392275</variant></size><size instock=""true""><string>32</string><variant>29416336425043</variant></size><size instock=""false""><string>33</string><variant>29416336457811</variant></size><size instock=""false""><string>34</string><variant>29416336490579</variant></size><size instock=""true""><string>36</string><variant>29416336523347</variant></size><size instock=""true""><string>38</string><variant>29416336556115</variant></size></sizes></sections>",Altamont-men,non-denim pants,"industry:Apparel, altamont-apparel, new-arrivals, 330, o-fa19, pants",,Title,Default Title,Link,https://altamontapparel.com/products/a-969-chino-sage?variant=29416336293971,,,,363,,deny,manual,41.99,60.00,True,True,,https://cdn.shopify.com/s/files/1/1954/8003/products/3130002538-330-F.jpg?v=1567624572,1,,FALSE,,,,,,,,,,,,,,,,,,,
,a-969-chino-sage-sage,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1954/8003/products/969-SAGE-CHINO---B.jpg?v=1571089621,2
,a-979-denim-grey-grey,A/979 DENIM - GREY,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>Standard taper fit fit chart 98 cotton 2 spandex 10 8 oz denim Custom 979 woven label package and fit branded detailing Embossed Altamont tonal back waistband patch Woven logo clamp label at wearers back right Triple stitched for durability Shoe lace belt loops Zipper fly</sectionBody></section><section id=""2""><sectionTitle>Size &amp;amp; Fit</sectionTitle><sectionBody>Click buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp;amp; Returns</sectionTitle><sectionBody>Free shipping on U.S. orders over $100. You can return unworn and unused clothes to our warehouse within 30 days from point of purchase for a refund or store credit.</sectionBody></section><sizes><size instock=""false""><string>28</string><variant>29416335704147</variant></size><size instock=""false""><string>29</string><variant>29416335736915</variant></size><size instock=""false""><string>30</string><variant>29416335769683</variant></size><size instock=""false""><string>31</string><variant>29416335802451</variant></size><size instock=""false""><string>32</string><variant>29416335835219</variant></size><size instock=""false""><string>33</string><variant>29416335867987</variant></size><size instock=""true""><string>34</string><variant>29416335900755</variant></size><size instock=""false""><string>36</string><variant>29416335933523</variant></size><size instock=""false""><string>38</string><variant>29416335966291</variant></size></sizes></sections>",Altamont-men,denim pants,"industry:Apparel, altamont-apparel, new-arrivals, 020, o-fa19, denim",,Title,Default Title,Link,https://altamontapparel.com/products/a-979-denim-grey?variant=29416335704147,,,,567,,deny,manual,45.99,65.00,True,True,,https://cdn.shopify.com/s/files/1/1954/8003/products/3130002531-020-1.jpg?v=1570657676,1,,FALSE,,,,,,,,,,,,,,,,,,,
,a-979-denim-grey-grey,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1954/8003/products/3130002531-020-2.jpg?v=1570657676,2
