Collection,Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google selfuct Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
,hydrant-hat,Hydrant Hat,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>An American classic gets a hydration twist with our 100 cotton cap The perfect add on to any look our Hydrant hat travels easily from the streets to the trails to the gym all while reminding you to stay hydrated along the way</sectionBody></section><section id=""2""><sectionTitle>Size &amp;amp; Fit</sectionTitle><sectionBody>Click buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp;amp; Returns</sectionTitle><sectionBody>Hydrant purchases come with free Standard Shipping, which is 3-5 Business Days. Expedited shipping is also available, which is 2-3 Business Days. Unfortunately, we don&#8217;t ship on Saturdays or Sundays. We offer a 30 day money back guarantee on our hydration mixes - if you are unhappy with your purchase for some reason, please let us know within 30 days at: hello@drinkhydrant.com</sectionBody></section><sizes><size instock=""true""><string>OS</string><variant>31641774587993</variant></size></sizes></sections>",Hydrant-men,merch,"industry:Health and Wellness, hydrant, ",,Title,Default Title,Link,https://www.drinkhydrant.com/products/hydrant-hat,,,,680,,deny,manual,9.99,14.99,True,True,,https://cdn.shopify.com/s/files/1/2720/4792/products/Transparent_HatFront.png?v=1592259759,1,,FALSE,,,,,,,,,,,,,,,,,,,
,new-bottle,16 Ounce Bottle,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>Our bottles are high grade 100 stainless steel The sturdy seamless construction makes these 16 oz bottles extremely durable With a double wall your drink will stayhot or cold for up to 12 hours</sectionBody></section><section id=""2""><sectionTitle>Size &amp;amp; Fit</sectionTitle><sectionBody>Click buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp;amp; Returns</sectionTitle><sectionBody>Hydrant purchases come with free Standard Shipping, which is 3-5 Business Days. Expedited shipping is also available, which is 2-3 Business Days. Unfortunately, we don&#8217;t ship on Saturdays or Sundays. We offer a 30 day money back guarantee on our hydration mixes - if you are unhappy with your purchase for some reason, please let us know within 30 days at: hello@drinkhydrant.com</sectionBody></section><sizes><size instock=""true""><string>OS</string><variant>31512341250137</variant></size></sizes></sections>",Hydrant-men,merch,"industry:Health and Wellness, hydrant, ",,Title,Default Title,Link,https://www.drinkhydrant.com/products/new-bottle,,,,283,,deny,manual,14.99,19.00,True,True,,https://cdn.shopify.com/s/files/1/2720/4792/products/Bottle_Transparent.png?v=1585755126,1,,FALSE,,,,,,,,,,,,,,,,,,,
,copy-of-wholesale-10-pack-rapid-hydration-mix,10-Pack Rapid Hydration Mix,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>A simple morning hydration mix optimized to hydrate you rapidly The best way to start your day Lightly flavored with real fruit juice subtle refreshing taste No nonsense Up to 3x the electrolytes of a traditional sports drink and way less sweet</sectionBody></section><section id=""2""><sectionTitle>Size &amp;amp; Fit</sectionTitle><sectionBody>Click buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp;amp; Returns</sectionTitle><sectionBody>Hydrant purchases come with free Standard Shipping, which is 3-5 Business Days. Expedited shipping is also available, which is 2-3 Business Days. Unfortunately, we don&#8217;t ship on Saturdays or Sundays. We offer a 30 day money back guarantee on our hydration mixes - if you are unhappy with your purchase for some reason, please let us know within 30 days at: hello@drinkhydrant.com</sectionBody></section><sizes><size instock=""true""><string>10</string><variant>31275043586137</variant></size></sizes></sections>",Hydrant-men,,"industry:Health and Wellness, hydrant, ",,Title,Default Title,Link,https://www.drinkhydrant.com/products/copy-of-wholesale-10-pack-rapid-hydration-mix,,,,0,,deny,manual,19.99,,True,True,,https://cdn.shopify.com/s/files/1/2720/4792/products/10_pack_stick_orange-small_8c8717f9-5a2a-4c67-aebb-f8d65be2c802.jpg?v=1576621740,1,,FALSE,,,,,,,,,,,,,,,,,,,
,copy-of-wholesale-10-pack-rapid-hydration-mix,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2720/4792/products/10_pack_stick_lime-small_7a38bce4-5c89-4e5a-8e4b-842399b1d0b9.jpg?v=1576621739,2
,copy-of-wholesale-10-pack-rapid-hydration-mix,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2720/4792/products/10_pack_stick_grapefruit-small_0b07bf8a-766e-4a20-aec9-e5b35f6ed6f5.jpg?v=1576621739,3
,tote-bag,Tote Bag,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>Our 100 cotton canvas tote bag is the best way to carry things whilst also letting people know that you re in on the hydration secret Size 10 x 13 inches with a 4 inch gusset</sectionBody></section><section id=""2""><sectionTitle>Size &amp;amp; Fit</sectionTitle><sectionBody>Click buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp;amp; Returns</sectionTitle><sectionBody>Hydrant purchases come with free Standard Shipping, which is 3-5 Business Days. Expedited shipping is also available, which is 2-3 Business Days. Unfortunately, we don&#8217;t ship on Saturdays or Sundays. We offer a 30 day money back guarantee on our hydration mixes - if you are unhappy with your purchase for some reason, please let us know within 30 days at: hello@drinkhydrant.com</sectionBody></section><sizes><size instock=""true""><string>OS</string><variant>31239448526937</variant></size></sizes></sections>",Hydrant-men,merch,"industry:Health and Wellness, hydrant, ",,Title,Default Title,Link,https://www.drinkhydrant.com/products/tote-bag,,,,340,,deny,manual,15.00,,True,True,,https://cdn.shopify.com/s/files/1/2720/4792/products/Tote_Bag_Tranparent.png?v=1576516644,1,,FALSE,,,,,,,,,,,,,,,,,,,
,thirsty-t-shirts,Thirsty T-Shirts,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>Our not thirsty T shirt is a future classic 100 cotton and comes in long or short sleeves in a variety of sizes We recommend ordering one size up because of normal shrinkage when washed</sectionBody></section><section id=""2""><sectionTitle>Size &amp;amp; Fit</sectionTitle><sectionBody>Click buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp;amp; Returns</sectionTitle><sectionBody>Hydrant purchases come with free Standard Shipping, which is 3-5 Business Days. Expedited shipping is also available, which is 2-3 Business Days. Unfortunately, we don&#8217;t ship on Saturdays or Sundays. We offer a 30 day money back guarantee on our hydration mixes - if you are unhappy with your purchase for some reason, please let us know within 30 days at: hello@drinkhydrant.com</sectionBody></section><sizes><size instock=""true""><string>SMALL - Long Sleeve T-Shirt</string><variant>31050043523161</variant></size><size instock=""true""><string>MEDIUM - Long Sleeve T-Shirt</string><variant>31050051190873</variant></size><size instock=""false""><string>LARGE - Long Sleeve T-Shirt</string><variant>31050051256409</variant></size><size instock=""true""><string>X-LARGE - Long Sleeve T-Shirt</string><variant>31050051321945</variant></size><size instock=""true""><string>SMALL - Short Sleeve T-Shirt</string><variant>31050051846233</variant></size><size instock=""false""><string>MEDIUM - Short Sleeve T-Shirt</string><variant>31050052108377</variant></size><size instock=""false""><string>LARGE - Short Sleeve T-Shirt</string><variant>31050052141145</variant></size><size instock=""true""><string>X-LARGE - Short Sleeve T-Shirt</string><variant>31050053615705</variant></size></sizes></sections>",Hydrant-men,merch,"industry:Health and Wellness, hydrant, ",,Title,Default Title,Link,https://www.drinkhydrant.com/products/thirsty-t-shirts?variant=31050043523161,,,,227,,deny,manual,15.00,,True,True,,https://cdn.shopify.com/s/files/1/2720/4792/products/Shirt_Transparent.png?v=1576516576,1,,FALSE,,,,,,,,,,,,,,,,,,,
,bottle,Bottle,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>Our American made bottles are high grade 100 recyclable aluminum The sturdy seamless construction makes these 24 oz bottles as durable as stainless steel but half the weight</sectionBody></section><section id=""2""><sectionTitle>Size &amp;amp; Fit</sectionTitle><sectionBody>Click buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp;amp; Returns</sectionTitle><sectionBody>Hydrant purchases come with free Standard Shipping, which is 3-5 Business Days. Expedited shipping is also available, which is 2-3 Business Days. Unfortunately, we don&#8217;t ship on Saturdays or Sundays. We offer a 30 day money back guarantee on our hydration mixes - if you are unhappy with your purchase for some reason, please let us know within 30 days at: hello@drinkhydrant.com</sectionBody></section><sizes><size instock=""true""><string>OS</string><variant>31049568059481</variant></size></sizes></sections>",Hydrant-men,merch,"industry:Health and Wellness, hydrant, ",,Title,Default Title,Link,https://www.drinkhydrant.com/products/bottle,,,,680,,deny,manual,19.00,,True,True,,https://cdn.shopify.com/s/files/1/2720/4792/products/bottle.jpg?v=1579789551,1,,FALSE,,,,,,,,,,,,,,,,,,,
,rapid-hydration-mix-caffeine,Caffeinated Hydration Mix,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>A simple morning hydration mix optimized to hydrate and caffeinate you rapidly The best way to start your day Lightly flavored with real fruit juice subtle refreshing taste Up to 3x the electrolytes of a sports drink and way less sweet 100mg of caffeine from green tea and 200mg of L Theanine gives you that extra boost</sectionBody></section><section id=""2""><sectionTitle>Size &amp;amp; Fit</sectionTitle><sectionBody>Click buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp;amp; Returns</sectionTitle><sectionBody>Hydrant purchases come with free Standard Shipping, which is 3-5 Business Days. Expedited shipping is also available, which is 2-3 Business Days. Unfortunately, we don&#8217;t ship on Saturdays or Sundays. We offer a 30 day money back guarantee on our hydration mixes - if you are unhappy with your purchase for some reason, please let us know within 30 days at: hello@drinkhydrant.com</sectionBody></section><sizes><size instock=""true""><string>30</string><variant>30202175193132</variant></size></sizes></sections>",Hydrant-men,one time,"industry:Health and Wellness, hydrant, , lemon-ffdf00, orange-f7921e",,Title,Default Title,Link,https://www.drinkhydrant.com/products/rapid-hydration-mix-caffeine,,,,272,,deny,manual,43.75,,True,True,,https://cdn.shopify.com/s/files/1/2720/4792/products/caffeinated-hydration-mix-30-all-flavors.png?v=1582223745,1,,FALSE,,,,,,,,,,,,,,,,,,,
,rapid-hydration-mix-caffeine,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2720/4792/products/Hydrant_Website_ProductPage_ColorEdits_RaspberryLemonade_2_bd168d5e-83e3-4d54-85fa-9471434447ff.png?v=1582223745,2
,rapid-hydration-mix-caffeine,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2720/4792/products/yellownewshadow_e1000e2d-b0f6-4430-b65a-1c3b948cf107.png?v=1582223745,3
,rapid-hydration-mix-caffeine,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2720/4792/products/Hydrant_Website_ProductPage_ColorEdits_Orange.png?v=1582223745,4
,rapid-hydration-mix-caffeine,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2720/4792/products/Hydrant_ColorSwap_MultipleSachets_VarietyCaffeine.png?v=1597166671,5
