Collection,Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google selfuct Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
,duvin-ls-tee-black,Duvin Long Sleeve Tee - Pepper,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>100 Cotton Fits True To Size</sectionBody></section><section id=""2""><sectionTitle>Size &amp;amp; Fit</sectionTitle><sectionBody>Click buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp;amp; Returns</sectionTitle><sectionBody>Free shipping and returns for orders placed in the USA</sectionBody></section><sizes><size instock=""true""><string>S</string><variant>33797651955843</variant></size><size instock=""true""><string>M</string><variant>33797651988611</variant></size><size instock=""true""><string>L</string><variant>33797652021379</variant></size><size instock=""true""><string>XL</string><variant>33797652054147</variant></size><size instock=""true""><string>XXL</string><variant>33797652086915</variant></size></sizes></sections>",Duvin-men,long sleeve tee,"industry:Apparel, duvin-design-co-, t-shirt, atonce, duvin-design, holiday20, ls-tee, new, t-shirt, tees, long-sleeve-tees",,Title,Default Title,Link,https://duvindesign.com/products/duvin-ls-tee-black,,,,142,,deny,manual,36.50,,True,True,,https://cdn.shopify.com/s/files/1/2217/4393/products/duvinlstee.png?v=1605798583,1,,FALSE,,,,,,,,,,,,,,,,,,,
,duvin-ls-tee-black,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2217/4393/products/duvinlstee.jpg?v=1605814824,2
,flock-ls-tee,Flocking Long Sleeve Tee,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>Come flock with the filthy flamingos 100 Cotton Secret Duvin Formula For Added Softness Fits True To Size Free Shipping Model is 5 9 165 lbs and wearing size Large</sectionBody></section><section id=""2""><sectionTitle>Size &amp;amp; Fit</sectionTitle><sectionBody>Click buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp;amp; Returns</sectionTitle><sectionBody>Free shipping and returns for orders placed in the USA</sectionBody></section><sizes><size instock=""true""><string>S</string><variant>33897187410051</variant></size><size instock=""true""><string>M</string><variant>33897187442819</variant></size><size instock=""true""><string>L</string><variant>33897187475587</variant></size><size instock=""true""><string>XL</string><variant>33897187508355</variant></size><size instock=""true""><string>XXL</string><variant>33897187541123</variant></size></sizes></sections>",Duvin-men,long sleeve tee,"industry:Apparel, duvin-design-co-, t-shirt, atonce, duvin-design, holiday20, ls-tee, new, t-shirt, tees, long-sleeve-tees",,Title,Default Title,Link,https://duvindesign.com/products/flock-ls-tee,,,,142,,deny,manual,38.50,,True,True,,https://cdn.shopify.com/s/files/1/2217/4393/products/ffsg-black-long.png?v=1605814782,1,,FALSE,,,,,,,,,,,,,,,,,,,
,flock-ls-tee,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2217/4393/products/flockinglstee.jpg?v=1605814782,2
,racer-ls-tee-pink,Racer LS Tee - Pink,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>Best selling style from Summer 2020 Racer Tee 100 Cotton Secret Duvin Formula For Added Softness Fits True To Size Free Shipping Model is 5 9 165 lbs and wearing size Large</sectionBody></section><section id=""2""><sectionTitle>Size &amp;amp; Fit</sectionTitle><sectionBody>Click buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp;amp; Returns</sectionTitle><sectionBody>Free shipping and returns for orders placed in the USA</sectionBody></section><sizes><size instock=""true""><string>S</string><variant>33897288106115</variant></size><size instock=""true""><string>M</string><variant>33897288138883</variant></size><size instock=""true""><string>L</string><variant>33897288171651</variant></size><size instock=""true""><string>XL</string><variant>33897288204419</variant></size><size instock=""true""><string>XXL</string><variant>33897288237187</variant></size></sizes></sections>",Duvin-men,long sleeve tee,"industry:Apparel, duvin-design-co-, t-shirt, atonce, holiday20, ls-tee, new, t-shirt, tees, long-sleeve-tees",,Title,Default Title,Link,https://duvindesign.com/products/racer-ls-tee-pink,,,,142,,deny,manual,38.50,,True,True,,https://cdn.shopify.com/s/files/1/2217/4393/products/racerlsteepink.png?v=1605809228,1,,FALSE,,,,,,,,,,,,,,,,,,,
,racer-ls-tee-pink,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2217/4393/products/racerpinkls.jpg?v=1605809235,2
,sunset-ls-tee-white,Sunset Long Sleeve Dyed Tee - White,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>You know we stay funky with the dyes 100 Cotton Secret Duvin Formula For Added Softness Fits True To Size Free Shipping Model is 5 9 165 lbs and wearing size Large</sectionBody></section><section id=""2""><sectionTitle>Size &amp;amp; Fit</sectionTitle><sectionBody>Click buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp;amp; Returns</sectionTitle><sectionBody>Free shipping and returns for orders placed in the USA</sectionBody></section><sizes><size instock=""true""><string>S</string><variant>33897301377155</variant></size><size instock=""true""><string>M</string><variant>33897301409923</variant></size><size instock=""true""><string>L</string><variant>33897301442691</variant></size><size instock=""true""><string>XL</string><variant>33897301475459</variant></size><size instock=""true""><string>XXL</string><variant>33897301508227</variant></size></sizes></sections>",Duvin-men,long sleeve tee,"industry:Apparel, duvin-design-co-, t-shirt, atonce, holiday20, ls-tee, new, t-shirt, tees, long-sleeve-tees",,Title,Default Title,Link,https://duvindesign.com/products/sunset-ls-tee-white,,,,142,,deny,manual,39.50,,True,True,,https://cdn.shopify.com/s/files/1/2217/4393/products/sunsetwhiteback.jpg?v=1605889644,1,,FALSE,,,,,,,,,,,,,,,,,,,
,sunset-ls-tee-white,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2217/4393/products/sunburst-white.jpg?v=1605889663,2
,nothin-butt-fun-ls-tee,Nothin Butt Fun Long Sleeve Tee,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>We re Nothin Butt Fun over here at Duvin 100 Cotton Secret Duvin Formula For Added Softness Fits True To Size Free Shipping Model is 5 9 165 lbs and wearing size Large</sectionBody></section><section id=""2""><sectionTitle>Size &amp;amp; Fit</sectionTitle><sectionBody>Click buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp;amp; Returns</sectionTitle><sectionBody>Free shipping and returns for orders placed in the USA</sectionBody></section><sizes><size instock=""true""><string>S</string><variant>33897269493891</variant></size><size instock=""true""><string>M</string><variant>33897269526659</variant></size><size instock=""true""><string>L</string><variant>33897269559427</variant></size><size instock=""true""><string>XL</string><variant>33897269592195</variant></size><size instock=""true""><string>XXL</string><variant>33897269624963</variant></size></sizes></sections>",Duvin-men,long sleeve tee,"industry:Apparel, duvin-design-co-, t-shirt, atonce, duvin-design, holiday20, ls-tee, new, t-shirt, tees, long-sleeve-tees",,Title,Default Title,Link,https://duvindesign.com/products/nothin-butt-fun-ls-tee,,,,142,,deny,manual,39.50,,True,True,,https://cdn.shopify.com/s/files/1/2217/4393/products/nothinbuttfunlstee.png?v=1605799470,1,,FALSE,,,,,,,,,,,,,,,,,,,
,nothin-butt-fun-ls-tee,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2217/4393/products/nothinbuttteels.jpg?v=1605814665,2
,rest-in-peace-ls-tee-1,Rest In Peace Long Sleeve Tee,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>Kick back grab a cold one and rest in peace 100 Cotton Secret Duvin Formula For Added Softness Fits True To Size Free Shipping Model is 5 9 165 lbs and wearing size Large</sectionBody></section><section id=""2""><sectionTitle>Size &amp;amp; Fit</sectionTitle><sectionBody>Click buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp;amp; Returns</sectionTitle><sectionBody>Free shipping and returns for orders placed in the USA</sectionBody></section><sizes><size instock=""true""><string>S</string><variant>33897291350147</variant></size><size instock=""true""><string>M</string><variant>33897291382915</variant></size><size instock=""true""><string>L</string><variant>33897291415683</variant></size><size instock=""true""><string>XL</string><variant>33897291448451</variant></size><size instock=""true""><string>XXL</string><variant>33897291481219</variant></size></sizes></sections>",Duvin-men,long sleeve tee,"industry:Apparel, duvin-design-co-, t-shirt, atonce, holiday20, ls-tee, new, t-shirt, tees, long-sleeve-tees",,Title,Default Title,Link,https://duvindesign.com/products/rest-in-peace-ls-tee-1,,,,142,,deny,manual,39.50,,True,True,,https://cdn.shopify.com/s/files/1/2217/4393/products/restinpeacelsteeback.png?v=1605806014,1,,FALSE,,,,,,,,,,,,,,,,,,,
