Collection,Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google selfuct Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
,blanketblend-hoodie-3-oatmilk,BlanketBlend Hoodie - Oatmilk,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>Our custom developed BlanketBlend fabric combines the comfort of cotton with the performance features of polyester finished off with a rare yarn amp ButterWash process to create a super soft durable hoodie for every occasion ButterWashed to maximize softness wash after wash Premium Cotton for a Super Soft Feel Pulled Polyester Cotton for a Fluffy Outside amp Moisture Management Combed Cotton for a Smooth Inside Hidden Accessories Pocket</sectionBody></section><section id=""2""><sectionTitle>Size &amp;amp; Fit</sectionTitle><sectionBody>Click buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp;amp; Returns</sectionTitle><sectionBody>Free shipping and returns for orders above $75</sectionBody></section><sizes><size instock=""true""><string>S</string><variant>30937512116289</variant></size><size instock=""true""><string>M</string><variant>30937512378433</variant></size><size instock=""true""><string>L</string><variant>30937512640577</variant></size><size instock=""true""><string>XL</string><variant>30937512902721</variant></size><size instock=""true""><string>XXL</string><variant>30937513164865</variant></size></sizes></sections>",Feat-men,hoodies > blanketblend > women,"industry:Apparel, feat-clothing, blanketblend, -tab1-blanketblend-size-guide, -tab2-blanketblend-fabric, basics, blanket, blanketblend, hoodie, hoodies, l, large, m, medium, s, small, soft, white, xl, xxl",,Title,Default Title,Link,https://featsocks.com/products/blanketblend-hoodie-3?variant=30937512116289,,,,0,,deny,manual,118.00,,True,True,,https://cdn.shopify.com/s/files/1/0721/2253/products/FEAT_2020_04_0010.jpg?v=1588115051,1,,FALSE,,,,,,,,,,,,,,,,,,,
,blanketblend-hoodie-3-oatmilk,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0721/2253/products/oatmilk.jpg?v=1592580013,2
,blanketblend-hoodie-3-oatmilk,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0721/2253/products/oatmilk_1.jpg?v=1592581208,3
,blanketblend-hoodie-3-nuderose,BlanketBlend Hoodie - NudeRose,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>Our custom developed BlanketBlend fabric combines the comfort of cotton with the performance features of polyester finished off with a rare yarn amp ButterWash process to create a super soft durable hoodie for every occasion ButterWashed to maximize softness wash after wash Premium Cotton for a Super Soft Feel Pulled Polyester Cotton for a Fluffy Outside amp Moisture Management Combed Cotton for a Smooth Inside Hidden Accessories Pocket</sectionBody></section><section id=""2""><sectionTitle>Size &amp;amp; Fit</sectionTitle><sectionBody>Click buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp;amp; Returns</sectionTitle><sectionBody>Free shipping and returns for orders above $75</sectionBody></section><sizes><size instock=""true""><string>S</string><variant>30937512149057</variant></size><size instock=""true""><string>M</string><variant>30937512411201</variant></size><size instock=""true""><string>L</string><variant>30937512673345</variant></size><size instock=""true""><string>XL</string><variant>30937512935489</variant></size><size instock=""true""><string>XXL</string><variant>30937513197633</variant></size></sizes></sections>",Feat-men,hoodies > blanketblend > women,"industry:Apparel, feat-clothing, blanketblend, -tab1-blanketblend-size-guide, -tab2-blanketblend-fabric, basics, blanket, blanketblend, hoodie, hoodies, l, large, m, medium, s, small, soft, white, xl, xxl",,Title,Default Title,Link,https://featsocks.com/products/blanketblend-hoodie-3?variant=30937512149057,,,,0,,deny,manual,118.00,,True,True,,https://cdn.shopify.com/s/files/1/0721/2253/products/FEAT_2020_04_0013.jpg?v=1592581205,1,,FALSE,,,,,,,,,,,,,,,,,,,
,blanketblend-hoodie-3-nuderose,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0721/2253/products/FEAT_2020_04_0020.jpg?v=1592581205,2
,blanketblend-hoodie-3-hazyblack,BlanketBlend Hoodie - HazyBlack,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>Our custom developed BlanketBlend fabric combines the comfort of cotton with the performance features of polyester finished off with a rare yarn amp ButterWash process to create a super soft durable hoodie for every occasion ButterWashed to maximize softness wash after wash Premium Cotton for a Super Soft Feel Pulled Polyester Cotton for a Fluffy Outside amp Moisture Management Combed Cotton for a Smooth Inside Hidden Accessories Pocket</sectionBody></section><section id=""2""><sectionTitle>Size &amp;amp; Fit</sectionTitle><sectionBody>Click buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp;amp; Returns</sectionTitle><sectionBody>Free shipping and returns for orders above $75</sectionBody></section><sizes><size instock=""true""><string>S</string><variant>30937512280129</variant></size><size instock=""true""><string>M</string><variant>30937512542273</variant></size><size instock=""true""><string>L</string><variant>30937512804417</variant></size><size instock=""true""><string>XL</string><variant>30937513066561</variant></size><size instock=""true""><string>XXL</string><variant>30937513328705</variant></size></sizes></sections>",Feat-men,hoodies > blanketblend > women,"industry:Apparel, feat-clothing, blanketblend, -tab1-blanketblend-size-guide, -tab2-blanketblend-fabric, basics, blanket, blanketblend, hoodie, hoodies, l, large, m, medium, s, small, soft, white, xl, xxl",,Title,Default Title,Link,https://featsocks.com/products/blanketblend-hoodie-3?variant=30937512280129,,,,0,,deny,manual,118.00,,True,True,,https://cdn.shopify.com/s/files/1/0721/2253/products/FEAT_2020_04_0008.jpg?v=1592581205,1,,FALSE,,,,,,,,,,,,,,,,,,,
,blanketblend-hoodie-3-moss,BlanketBlend Hoodie - Moss,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>Our custom developed BlanketBlend fabric combines the comfort of cotton with the performance features of polyester finished off with a rare yarn amp ButterWash process to create a super soft durable hoodie for every occasion ButterWashed to maximize softness wash after wash Premium Cotton for a Super Soft Feel Pulled Polyester Cotton for a Fluffy Outside amp Moisture Management Combed Cotton for a Smooth Inside Hidden Accessories Pocket</sectionBody></section><section id=""2""><sectionTitle>Size &amp;amp; Fit</sectionTitle><sectionBody>Click buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp;amp; Returns</sectionTitle><sectionBody>Free shipping and returns for orders above $75</sectionBody></section><sizes><size instock=""true""><string>S</string><variant>30937512247361</variant></size><size instock=""true""><string>M</string><variant>30937512509505</variant></size><size instock=""true""><string>L</string><variant>30937512771649</variant></size><size instock=""true""><string>XL</string><variant>30937513033793</variant></size><size instock=""true""><string>XXL</string><variant>30937513295937</variant></size></sizes></sections>",Feat-men,hoodies > blanketblend > women,"industry:Apparel, feat-clothing, blanketblend, -tab1-blanketblend-size-guide, -tab2-blanketblend-fabric, basics, blanket, blanketblend, hoodie, hoodies, l, large, m, medium, s, small, soft, white, xl, xxl",,Title,Default Title,Link,https://featsocks.com/products/blanketblend-hoodie-3?variant=30937512247361,,,,0,,deny,manual,118.00,,True,True,,https://cdn.shopify.com/s/files/1/0721/2253/products/FEAT_2020_04_0009.jpg?v=1592581205,1,,FALSE,,,,,,,,,,,,,,,,,,,
,blanketblend-hoodie-3-moss,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0721/2253/products/FEAT_2020_04_0011.jpg?v=1592581205,2
,blanketblend-hoodie-3-sapphire,BlanketBlend Hoodie - Sapphire,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>Our custom developed BlanketBlend fabric combines the comfort of cotton with the performance features of polyester finished off with a rare yarn amp ButterWash process to create a super soft durable hoodie for every occasion ButterWashed to maximize softness wash after wash Premium Cotton for a Super Soft Feel Pulled Polyester Cotton for a Fluffy Outside amp Moisture Management Combed Cotton for a Smooth Inside Hidden Accessories Pocket</sectionBody></section><section id=""2""><sectionTitle>Size &amp;amp; Fit</sectionTitle><sectionBody>Click buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp;amp; Returns</sectionTitle><sectionBody>Free shipping and returns for orders above $75</sectionBody></section><sizes><size instock=""true""><string>S</string><variant>30937512214593</variant></size><size instock=""true""><string>M</string><variant>30937512476737</variant></size><size instock=""true""><string>L</string><variant>30937512738881</variant></size><size instock=""true""><string>XL</string><variant>30937513001025</variant></size><size instock=""true""><string>XXL</string><variant>30937513263169</variant></size></sizes></sections>",Feat-men,hoodies > blanketblend > women,"industry:Apparel, feat-clothing, blanketblend, -tab1-blanketblend-size-guide, -tab2-blanketblend-fabric, basics, blanket, blanketblend, hoodie, hoodies, l, large, m, medium, s, small, soft, white, xl, xxl",,Title,Default Title,Link,https://featsocks.com/products/blanketblend-hoodie-3?variant=30937512214593,,,,0,,deny,manual,118.00,,True,True,,https://cdn.shopify.com/s/files/1/0721/2253/products/FEAT_2020_04_0005.jpg?v=1592581205,1,,FALSE,,,,,,,,,,,,,,,,,,,
,blanketblend-hoodie-3-burrblue,BlanketBlend Hoodie - BurrBlue,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>Our custom developed BlanketBlend fabric combines the comfort of cotton with the performance features of polyester finished off with a rare yarn amp ButterWash process to create a super soft durable hoodie for every occasion ButterWashed to maximize softness wash after wash Premium Cotton for a Super Soft Feel Pulled Polyester Cotton for a Fluffy Outside amp Moisture Management Combed Cotton for a Smooth Inside Hidden Accessories Pocket</sectionBody></section><section id=""2""><sectionTitle>Size &amp;amp; Fit</sectionTitle><sectionBody>Click buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp;amp; Returns</sectionTitle><sectionBody>Free shipping and returns for orders above $75</sectionBody></section><sizes><size instock=""true""><string>S</string><variant>30937512181825</variant></size><size instock=""true""><string>M</string><variant>30937512443969</variant></size><size instock=""true""><string>L</string><variant>30937512706113</variant></size><size instock=""true""><string>XL</string><variant>30937512968257</variant></size><size instock=""true""><string>XXL</string><variant>30937513230401</variant></size></sizes></sections>",Feat-men,hoodies > blanketblend > women,"industry:Apparel, feat-clothing, blanketblend, -tab1-blanketblend-size-guide, -tab2-blanketblend-fabric, basics, blanket, blanketblend, hoodie, hoodies, l, large, m, medium, s, small, soft, white, xl, xxl",,Title,Default Title,Link,https://featsocks.com/products/blanketblend-hoodie-3?variant=30937512181825,,,,0,,deny,manual,118.00,,True,True,,https://cdn.shopify.com/s/files/1/0721/2253/products/FEAT_2020_04_0012.jpg?v=1592581205,1,,FALSE,,,,,,,,,,,,,,,,,,,
