Collection,Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google selfuct Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
,silvertip-synthetic-shave-brush-faux-ox-horn,Silvertip Synthetic Shaving Brush - Faux Ox Horn,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>Our hand crafted shaving brush comes with our custom Silvertip Synthetic fibers and a polished acrylic handle It s designed to whip up a cushiony protective lather when paired with our Ultra Lather Shaving Cream</sectionBody></section><section id=""2""><sectionTitle>Size &amp;amp; Fit</sectionTitle><sectionBody>Click buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp;amp; Returns</sectionTitle><sectionBody>Free US shipping on any order of $35 or more. We offer a 60 Day Trial for all of our gear, which means you have 60 days to try it out, live with it, and love it. If at any point in the first 60 days you decide that you are not 100% satisfied with your new products, return them for a full refund&#8212;no questions asked. Our return policy is simple - love our products, or send them back.</sectionBody></section><sizes><size instock=""true""><string>OS</string><variant>9478426501</variant></size></sizes></sections>",Supply-men,shaving,"industry:Grooming, supply, grooming-essentials, spo-disabled",,Title,Default Title,Link,https://supply.com/products/silvertip-synthetic-shave-brush?variant=9478426501,,,,88,,deny,manual,39.00,,True,True,,https://cdn.shopify.com/s/files/1/1015/5047/products/Brush.png?v=1583865757,1,,FALSE,,,,,,,,,,,,,,,,,,,
,ultra-lather-shaving-cream,Ultra Lather Shaving Cream,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>Our super concentrated shave cream builds a thick lather for the ultimate irritation free shave Glycerin shea butter and jojoba oil provide superior glide and restore moisture to worn skin It comes packaged in a glass 4 oz jar This shaving cream requires a shaving brush to build a proper lather</sectionBody></section><section id=""2""><sectionTitle>Size &amp;amp; Fit</sectionTitle><sectionBody>Click buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp;amp; Returns</sectionTitle><sectionBody>Free US shipping on any order of $35 or more. We offer a 60 Day Trial for all of our gear, which means you have 60 days to try it out, live with it, and love it. If at any point in the first 60 days you decide that you are not 100% satisfied with your new products, return them for a full refund&#8212;no questions asked. Our return policy is simple - love our products, or send them back.</sectionBody></section><sizes><size instock=""true""><string>CRISP</string><variant>26614833104</variant></size><size instock=""true""><string>COASTAL</string><variant>30094253584</variant></size><size instock=""true""><string>CALM</string><variant>30094253648</variant></size></sizes></sections>",Supply-men,shaving,"industry:Grooming, supply, grooming-essentials",,Title,Default Title,Link,https://supply.com/products/ultra-lather-shaving-cream,,,,244,,deny,manual,22.00,,True,True,,https://cdn.shopify.com/s/files/1/1015/5047/products/Shaving-Cream-Crisp_small_4b71c9eb-ae6f-470e-8843-e8673f91214f.png?v=1583866866,1,,FALSE,,,,,,,,,,,,,,,,,,,
,healing-post-shave,Healing Post Shave,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>Heal and restore your skin after shaving with a refreshing blend of toning witch hazel and soothing aloe Our alcohol free formula is loaded with glycerin aloe vera and shea to calm sensitive skin post shave or anytime</sectionBody></section><section id=""2""><sectionTitle>Size &amp;amp; Fit</sectionTitle><sectionBody>Click buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp;amp; Returns</sectionTitle><sectionBody>Free US shipping on any order of $35 or more. We offer a 60 Day Trial for all of our gear, which means you have 60 days to try it out, live with it, and love it. If at any point in the first 60 days you decide that you are not 100% satisfied with your new products, return them for a full refund&#8212;no questions asked. Our return policy is simple - love our products, or send them back.</sectionBody></section><sizes><size instock=""true""><string>COASTAL</string><variant>17168191813</variant></size><size instock=""true""><string>CRISP</string><variant>17168191941</variant></size><size instock=""true""><string>CALM</string><variant>30097261584</variant></size></sizes></sections>",Supply-men,shaving,"industry:Grooming, supply, grooming-essentials",,Title,Default Title,Link,https://supply.com/products/healing-post-shave,,,,125,,deny,manual,14.00,,True,True,,https://cdn.shopify.com/s/files/1/1015/5047/products/Post-Shave-test-1000px-PNG.png?v=1583865538,1,,FALSE,,,,,,,,,,,,,,,,,,,
,marble-shaving-bowl,Marble Shaving Bowl,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>Handcrafted from solid white marble our shave bowl design is a piece you ll want to display The micro ridges on the interior surface of the bowl whip up a soft pillowy lather in seconds</sectionBody></section><section id=""2""><sectionTitle>Size &amp;amp; Fit</sectionTitle><sectionBody>Click buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp;amp; Returns</sectionTitle><sectionBody>Free US shipping on any order of $35 or more. We offer a 60 Day Trial for all of our gear, which means you have 60 days to try it out, live with it, and love it. If at any point in the first 60 days you decide that you are not 100% satisfied with your new products, return them for a full refund&#8212;no questions asked. Our return policy is simple - love our products, or send them back.</sectionBody></section><sizes><size instock=""true""><string>OS</string><variant>32085084048</variant></size></sizes></sections>",Supply-men,marble,"industry:Grooming, supply, grooming-essentials, meta-related-collection-related-items, accessories",,Title,Default Title,Link,https://supply.com/products/marble-shaving-bowl,,,,737,,deny,manual,24.00,,True,True,,https://cdn.shopify.com/s/files/1/1015/5047/products/Bowl_39abeddc-03fd-4fc5-bb3b-f2a23df12684.png?v=1583864801,1,,FALSE,,,,,,,,,,,,,,,,,,,
,the-everyday-dopp-bourbon,The Everyday Dopp - Bourbon,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>Effortlessly organize everything with The Everyday Dopp It s designed to carry all of your essential gear from the bathroom to the boardroom to the backcountry</sectionBody></section><section id=""2""><sectionTitle>Size &amp;amp; Fit</sectionTitle><sectionBody>Click buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp;amp; Returns</sectionTitle><sectionBody>Free US shipping on any order of $35 or more. We offer a 60 Day Trial for all of our gear, which means you have 60 days to try it out, live with it, and love it. If at any point in the first 60 days you decide that you are not 100% satisfied with your new products, return them for a full refund&#8212;no questions asked. Our return policy is simple - love our products, or send them back.</sectionBody></section><sizes><size instock=""true""><string>OS</string><variant>8114369101915</variant></size></sizes></sections>",Supply-men,accessories,"industry:Grooming, supply, grooming-essentials, accessories",,Title,Default Title,Link,https://supply.com/products/the-everyday-dopp?variant=8114369101915,,,,794,,deny,manual,189.00,,True,True,,https://cdn.shopify.com/s/files/1/1015/5047/products/Dopp.png?v=1583866241,1,,FALSE,,,,,,,,,,,,,,,,,,,
,the-everyday-dopp-bourbon,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1015/5047/products/Dopp_Full.png?v=1583866248,2
,the-everyday-dopp-dark-brown,The Everyday Dopp - Dark Brown,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>Effortlessly organize everything with The Everyday Dopp It s designed to carry all of your essential gear from the bathroom to the boardroom to the backcountry</sectionBody></section><section id=""2""><sectionTitle>Size &amp;amp; Fit</sectionTitle><sectionBody>Click buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp;amp; Returns</sectionTitle><sectionBody>Free US shipping on any order of $35 or more. We offer a 60 Day Trial for all of our gear, which means you have 60 days to try it out, live with it, and love it. If at any point in the first 60 days you decide that you are not 100% satisfied with your new products, return them for a full refund&#8212;no questions asked. Our return policy is simple - love our products, or send them back.</sectionBody></section><sizes><size instock=""true""><string>OS</string><variant>8114369134683</variant></size></sizes></sections>",Supply-men,accessories,"industry:Grooming, supply, grooming-essentials, accessories",,Title,Default Title,Link,https://supply.com/products/the-everyday-dopp?variant=8114369134683,,,,794,,deny,manual,189.00,,True,True,,https://cdn.shopify.com/s/files/1/1015/5047/products/Dopp_dark_brown.png?v=1583866258,1,,FALSE,,,,,,,,,,,,,,,,,,,
,the-everyday-dopp-midnight-black,The Everyday Dopp - Midnight Black,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>Effortlessly organize everything with The Everyday Dopp It s designed to carry all of your essential gear from the bathroom to the boardroom to the backcountry</sectionBody></section><section id=""2""><sectionTitle>Size &amp;amp; Fit</sectionTitle><sectionBody>Click buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp;amp; Returns</sectionTitle><sectionBody>Free US shipping on any order of $35 or more. We offer a 60 Day Trial for all of our gear, which means you have 60 days to try it out, live with it, and love it. If at any point in the first 60 days you decide that you are not 100% satisfied with your new products, return them for a full refund&#8212;no questions asked. Our return policy is simple - love our products, or send them back.</sectionBody></section><sizes><size instock=""true""><string>OS</string><variant>8114369167451</variant></size></sizes></sections>",Supply-men,accessories,"industry:Grooming, supply, grooming-essentials, accessories",,Title,Default Title,Link,https://supply.com/products/the-everyday-dopp?variant=8114369167451,,,,794,,deny,manual,189.00,,True,True,,https://cdn.shopify.com/s/files/1/1015/5047/products/Dopp_midnight_black.png?v=1583866267,1,,FALSE,,,,,,,,,,,,,,,,,,,
,mens-skincare-essentials,Skin Essentials,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>Look this doesn t have to be complicated This is your three step routine for better skin Everything you need in one box made with the best ingredients on the planet Lasts 2 3 months with daily use</sectionBody></section><section id=""2""><sectionTitle>Size &amp;amp; Fit</sectionTitle><sectionBody>Click buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp;amp; Returns</sectionTitle><sectionBody>Free US shipping on any order of $35 or more. We offer a 60 Day Trial for all of our gear, which means you have 60 days to try it out, live with it, and love it. If at any point in the first 60 days you decide that you are not 100% satisfied with your new products, return them for a full refund&#8212;no questions asked. Our return policy is simple - love our products, or send them back.</sectionBody></section><sizes><size instock=""true""><string>OS</string><variant>31069198155860</variant></size></sizes></sections>",Supply-men,skincare,"industry:Grooming, supply, skincare, bundle",,Title,Default Title,Link,https://supply.com/products/mens-skincare-essentials,,,,295,,deny,manual,59.00,64.00,True,True,,https://cdn.shopify.com/s/files/1/1015/5047/products/Skincare_Set_-_6_tiny.png?v=1583866082,1,,FALSE,,,,,,,,,,,,,,,,,,,
,feel-good-face-wash,Feel Good Face Wash,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>This isn t a regular run of the mill face wash It s packed with powerful plant based ingredients that wash away impurities and refresh your skin Bottom line Don t just wash your face make it feel good</sectionBody></section><section id=""2""><sectionTitle>Size &amp;amp; Fit</sectionTitle><sectionBody>Click buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp;amp; Returns</sectionTitle><sectionBody>Free US shipping on any order of $35 or more. We offer a 60 Day Trial for all of our gear, which means you have 60 days to try it out, live with it, and love it. If at any point in the first 60 days you decide that you are not 100% satisfied with your new products, return them for a full refund&#8212;no questions asked. Our return policy is simple - love our products, or send them back.</sectionBody></section><sizes><size instock=""true""><string>OS</string><variant>30886338461780</variant></size></sizes></sections>",Supply-men,skincare,"industry:Grooming, supply, skincare",,Title,Default Title,Link,https://supply.com/products/feel-good-face-wash,,,,136,,deny,manual,16.00,,True,True,,https://cdn.shopify.com/s/files/1/1015/5047/products/FGFW_tiny.png?v=1583864928,1,,FALSE,,,,,,,,,,,,,,,,,,,
