Collection,Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google selfuct Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
,copy-of-steven-harrington-x-golden-road-x-ql-crew-neck-sweatshirt-navy-navy,Steven Harrington x Golden Road x QL - Crew Neck Sweatshirt (Navy),"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>100 Cotton 290gram fleece Front print Custom woven neck label Artwork by Steven Harrington This is part of the QL x Steven Harrington x Golden Road collaboration collection</sectionBody></section><section id=""2""><sectionTitle>Size &amp;amp; Fit</sectionTitle><sectionBody>Click buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp;amp; Returns</sectionTitle><sectionBody>Standard delivery is 3-7 working days, depending on the service you choose. Customs of each country may delay this time. The shipping cost will depend on size and weight of your package. With USPS, once your parcel has arrived in your country, it will be passed on to an internal postal service, according to standard delivery procedures. A signature is required upon delivery.</sectionBody></section><sizes><size instock=""true""><string>SMALL</string><variant>36678548521113</variant></size><size instock=""true""><string>MEDIUM</string><variant>36678548553881</variant></size><size instock=""false""><string>LARGE</string><variant>36678548586649</variant></size><size instock=""false""><string>XL</string><variant>36678548619417</variant></size></sizes></sections>",Quiet Life-men,fleece,"industry:Apparel, quiet-life, new-arrivals, oktoberfest, stevenharrington",,Title,Default Title,Link,https://thequietlife.com/products/copy-of-steven-harrington-x-golden-road-x-ql-crew-neck-sweatshirt-navy?variant=36678548521113,,,,408,,deny,manual,75.00,,True,True,,https://cdn.shopify.com/s/files/1/0612/2005/products/GoldenRoadimagesforshopify5_c3fea2bc-fb8f-4180-a45d-db48efe826f7.jpg?v=1602831701,1,,FALSE,,,,,,,,,,,,,,,,,,,
,steven-harrington-x-golden-road-x-ql-t-shirt-multi-tie-dye,Steven Harrington x Golden Road x QL - T-Shirt - Multi Tie Dye,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>100 Cotton premium tshirt Front print Artwork by Steven Harrington The tie dye isn t exact same on every sweatshirt It s similar just not in exact same placement on each item This is part of the QL x Steven Harrington x Golden Road collaboration collection</sectionBody></section><section id=""2""><sectionTitle>Size &amp;amp; Fit</sectionTitle><sectionBody>Click buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp;amp; Returns</sectionTitle><sectionBody>Standard delivery is 3-7 working days, depending on the service you choose. Customs of each country may delay this time. The shipping cost will depend on size and weight of your package. With USPS, once your parcel has arrived in your country, it will be passed on to an internal postal service, according to standard delivery procedures. A signature is required upon delivery.</sectionBody></section><sizes><size instock=""false""><string>SMALL</string><variant>36678560153753</variant></size><size instock=""true""><string>MEDIUM</string><variant>36678560252057</variant></size><size instock=""false""><string>LARGE</string><variant>36678560317593</variant></size><size instock=""false""><string>XL</string><variant>36678560350361</variant></size></sizes></sections>",Quiet Life-men,t shirt,"industry:Apparel, quiet-life, new-arrivals, oktoberfest, stevenharrington",,Title,Default Title,Link,https://thequietlife.com/products/steven-harrington-x-golden-road-x-ql-t-shirt?variant=36678560153753,,,,100,,deny,manual,36.00,,True,True,,https://cdn.shopify.com/s/files/1/0612/2005/products/GoldenRoadimagesforshopify.jpg?v=1602538875,1,,FALSE,,,,,,,,,,,,,,,,,,,
,steven-harrington-x-golden-road-x-ql-t-shirt-multi-tie-dye,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0612/2005/products/GoldenRoadimagesforshopify7.jpg?v=1602832004,2
,the-quiet-life-flowers-t-fa20-d1-tie-dye,Flowers T - Tie Dye,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>100 cotton Available in classic 6oz thick or premium 4 3oz thin fit Front and back prints Each tie dye is unique and pattern won t exactly match photo shown</sectionBody></section><section id=""2""><sectionTitle>Size &amp;amp; Fit</sectionTitle><sectionBody>Click buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp;amp; Returns</sectionTitle><sectionBody>Standard delivery is 3-7 working days, depending on the service you choose. Customs of each country may delay this time. The shipping cost will depend on size and weight of your package. With USPS, once your parcel has arrived in your country, it will be passed on to an internal postal service, according to standard delivery procedures. A signature is required upon delivery.</sectionBody></section><sizes><size instock=""false""><string>XS - Standard (Thick)</string><variant>36503434461337</variant></size><size instock=""true""><string>S - Standard (Thick)</string><variant>36503434526873</variant></size><size instock=""true""><string>M - Standard (Thick)</string><variant>36503434559641</variant></size><size instock=""true""><string>L - Standard (Thick)</string><variant>36503434592409</variant></size><size instock=""true""><string>XL - Standard (Thick)</string><variant>36503434625177</variant></size><size instock=""false""><string>XS - Premium (Thin)</string><variant>36503434854553</variant></size><size instock=""false""><string>S - Premium (Thin)</string><variant>36503434887321</variant></size><size instock=""true""><string>M - Premium (Thin)</string><variant>36503434920089</variant></size><size instock=""true""><string>L - Premium (Thin)</string><variant>36503434952857</variant></size><size instock=""false""><string>XL - Premium (Thin)</string><variant>36503434985625</variant></size></sizes></sections>",Quiet Life-men,t shirt,"industry:Apparel, quiet-life, new-arrivals, 20fad1, 20fad1-sale-tshirts, 20fad1-short-sleeve-t, 20fad1-tshirts, 20fad1sale, zdfa20d1, t-shirts, graphic-ts",,Title,Default Title,Link,https://thequietlife.com/products/the-quiet-life-flowers-t-fa20-d1?variant=36503434461337,,,,90,,deny,manual,34.00,,True,True,,https://cdn.shopify.com/s/files/1/0612/2005/products/QLFA20cx20.jpg?v=1601650602,1,,FALSE,,,,,,,,,,,,,,,,,,,
,the-quiet-life-flowers-t-fa20-d1-tie-dye,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0612/2005/products/QLFA20cx21.jpg?v=1601650602,2
,the-quiet-life-flowers-t-fa20-d1-black,Flowers T - Black,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>100 cotton Available in classic 6oz thick or premium 4 3oz thin fit Front and back prints Each tie dye is unique and pattern won t exactly match photo shown</sectionBody></section><section id=""2""><sectionTitle>Size &amp;amp; Fit</sectionTitle><sectionBody>Click buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp;amp; Returns</sectionTitle><sectionBody>Standard delivery is 3-7 working days, depending on the service you choose. Customs of each country may delay this time. The shipping cost will depend on size and weight of your package. With USPS, once your parcel has arrived in your country, it will be passed on to an internal postal service, according to standard delivery procedures. A signature is required upon delivery.</sectionBody></section><sizes><size instock=""false""><string>XS - Standard (Thick)</string><variant>36503434690713</variant></size><size instock=""true""><string>S - Standard (Thick)</string><variant>36503434723481</variant></size><size instock=""true""><string>M - Standard (Thick)</string><variant>36503434756249</variant></size><size instock=""true""><string>L - Standard (Thick)</string><variant>36503434789017</variant></size><size instock=""true""><string>XL - Standard (Thick)</string><variant>36503434821785</variant></size><size instock=""false""><string>XS - Premium (Thin)</string><variant>36503435018393</variant></size><size instock=""true""><string>S - Premium (Thin)</string><variant>36503435051161</variant></size><size instock=""true""><string>M - Premium (Thin)</string><variant>36503435083929</variant></size><size instock=""true""><string>L - Premium (Thin)</string><variant>36503435116697</variant></size><size instock=""true""><string>XL - Premium (Thin)</string><variant>36503435149465</variant></size></sizes></sections>",Quiet Life-men,t shirt,"industry:Apparel, quiet-life, new-arrivals, 20fad1, 20fad1-sale-tshirts, 20fad1-short-sleeve-t, 20fad1-tshirts, 20fad1sale, zdfa20d1, t-shirts, graphic-ts",,Title,Default Title,Link,https://thequietlife.com/products/the-quiet-life-flowers-t-fa20-d1?variant=36503434690713,,,,90,,deny,manual,34.00,,True,True,,https://cdn.shopify.com/s/files/1/0612/2005/products/20FAD1-1142_3_BLK.jpg?v=1601650602,1,,FALSE,,,,,,,,,,,,,,,,,,,
,the-quiet-life-flowers-t-fa20-d1-black,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0612/2005/products/20FAD1-1142_4.jpg?v=1601650602,2
,the-quiet-life-flowers-t-fa20-d1-black,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0612/2005/products/QLFA20cx22.jpg?v=1601650593,3
,the-quiet-life-shhh-water-bottle-fa20-d1-clear-pink-top,Shhh Water Bottle - Clear Pink Top,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>32 oz Nalgene water bottle Printed art</sectionBody></section><section id=""2""><sectionTitle>Size &amp;amp; Fit</sectionTitle><sectionBody>Click buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp;amp; Returns</sectionTitle><sectionBody>Standard delivery is 3-7 working days, depending on the service you choose. Customs of each country may delay this time. The shipping cost will depend on size and weight of your package. With USPS, once your parcel has arrived in your country, it will be passed on to an internal postal service, according to standard delivery procedures. A signature is required upon delivery.</sectionBody></section><sizes><size instock=""true""><string>OS</string><variant>36503378624665</variant></size></sizes></sections>",Quiet Life-men,accessory,"industry:Apparel, quiet-life, new-arrivals, 20fad1, 20fad1-accessory, 20fad1-sale-accessory, 20fad1sale, zdfa20d1, accessories",,Title,Default Title,Link,https://thequietlife.com/products/the-quiet-life-shhh-water-bottle-fa20-d1?variant=36503378624665,,,,100,,deny,manual,28.00,,True,True,,https://cdn.shopify.com/s/files/1/0612/2005/products/QLFA20cx4.jpg?v=1601653884,1,,FALSE,,,,,,,,,,,,,,,,,,,
,the-quiet-life-shhh-water-bottle-fa20-d1-blue,Shhh Water Bottle - Blue,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>32 oz Nalgene water bottle Printed art</sectionBody></section><section id=""2""><sectionTitle>Size &amp;amp; Fit</sectionTitle><sectionBody>Click buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp;amp; Returns</sectionTitle><sectionBody>Standard delivery is 3-7 working days, depending on the service you choose. Customs of each country may delay this time. The shipping cost will depend on size and weight of your package. With USPS, once your parcel has arrived in your country, it will be passed on to an internal postal service, according to standard delivery procedures. A signature is required upon delivery.</sectionBody></section><sizes><size instock=""true""><string>OS</string><variant>36503378657433</variant></size></sizes></sections>",Quiet Life-men,accessory,"industry:Apparel, quiet-life, new-arrivals, 20fad1, 20fad1-accessory, 20fad1-sale-accessory, 20fad1sale, zdfa20d1, accessories",,Title,Default Title,Link,https://thequietlife.com/products/the-quiet-life-shhh-water-bottle-fa20-d1?variant=36503378657433,,,,100,,deny,manual,28.00,,True,True,,https://cdn.shopify.com/s/files/1/0612/2005/products/QLFA20cx.jpg?v=1601653884,1,,FALSE,,,,,,,,,,,,,,,,,,,
