Collection,Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
Busbee Mcquade-men,the-terry-tee-black,The Terry Tee - Black,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>Product Details Micro French Terry Cloth Crew Neck Tee.Raw Hem Sleeves. 95 Cotton 5 Spandex. Made In Los Angeles California 🇺🇸Fabric From Usa 🇺🇸Garment Pre-Shrunk. The Best Feeling Most Unique T-Shirt. Size Fit Classic Fit True To Size Model Is Wearing A Size Large Model’S Measurements Height 6’0 Size Guide Fit Questions Text Us 213-536-9662 Or Email Us. Garment Care Machine Wash Cold Cycle With Other Like Colors Tumble Dry Low Do Not Dry On High Low Iron If Needed. *Color Is As Shown In The Photos</sectionBody></section><section id=""2""><sectionTitle>Size &amp; Fit</sectionTitle><sectionBody>Click buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp; Returns</sectionTitle><sectionBody>We are proud to offer FREE 3 Day Shipping for all orders over $99. Orders under this amount still enjoy 2 Day Shipping but are charged a flat rate of $5. Next day shipping are charged a flat rate of $20We accept returns within 30 days of your purchase for a full refund. All return items must be unworn, unwashed and undamaged with original tags still intact and in the original poly bags.</sectionBody></section></sections>",Busbee Mcquade-men,tops,"busbeemcquede,new-arrivals,tops",,Title,Default Title,Link,https://www.busbeemcquade.com/collections/new-arrivals-men/products/the-terry-tee-black?variant=30702654718048,,,MTT955A-BLK-S,186,,deny,manual,60,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0087/9706/1216/products/B__11.jpg?v=1571776903,1,,FALSE,,,,,,,,,,,,,,,,,,,
Busbee Mcquade-men,the-terry-tee-black,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0087/9706/1216/products/B__11.jpg?v=1571776903,1,,,,,,,,,,,,,,,,,,,,,
Busbee Mcquade-men,the-terry-tee-black,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0087/9706/1216/products/B__52.jpg?v=1571776903,2,,,,,,,,,,,,,,,,,,,,,
Busbee Mcquade-men,the-terry-tee-black,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0087/9706/1216/products/B__48.jpg?v=1571776903,3,,,,,,,,,,,,,,,,,,,,,
Busbee Mcquade-men,the-terry-tee-black,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0087/9706/1216/products/B__30.jpg?v=1571776903,4,,,,,,,,,,,,,,,,,,,,,
Busbee Mcquade-men,the-terry-tee-black,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0087/9706/1216/products/B__96_copy.jpg?v=1571776930,5,,,,,,,,,,,,,,,,,,,,,
Busbee Mcquade-men,the-terry-tee-black,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0087/9706/1216/products/B__91_copy.jpg?v=1571776930,6,,,,,,,,,,,,,,,,,,,,,
Busbee Mcquade-men,the-terry-tee-black,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0087/9706/1216/products/Terry_Tee_Fabric.jpg?v=1571776930,7,,,,,,,,,,,,,,,,,,,,,
Busbee Mcquade-men,the-cut-crew-black,The Cut Crew - Black,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>Product Details Classic Fit Tee.Relaxed Opening Notch Collar. 100 Cotton. Made In Los Angeles California 🇺🇸Fabric From Usa 🇺🇸Garment Pre-Shrunk. Simply The Softest Shirt. Size Fit Classic Fit True To Size Model Is Wearing A Size Large Model’S Measurements Height 6’0 Size Guide Fit Questions Text Us 213-536-9662 Or Email Us. Garment Care Machine Wash Cold Cycle With Other Like Colors Tumble Dry Low Do Not Dry On High Low Iron If Needed. *Color Is As Shown In The Photos.</sectionBody></section><section id=""2""><sectionTitle>Size &amp; Fit</sectionTitle><sectionBody>Click buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp; Returns</sectionTitle><sectionBody>We are proud to offer FREE 3 Day Shipping for all orders over $99. Orders under this amount still enjoy 2 Day Shipping but are charged a flat rate of $5. Next day shipping are charged a flat rate of $20We accept returns within 30 days of your purchase for a full refund. All return items must be unworn, unwashed and undamaged with original tags still intact and in the original poly bags.</sectionBody></section></sections>",Busbee Mcquade-men,tops,"busbeemcquede,new-arrivals,tops",,Title,Default Title,Link,https://www.busbeemcquade.com/collections/new-arrivals-men/products/the-cut-crew-black?variant=30702597832800,,,MCC40SA-BLK-S,118,,deny,manual,60,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0087/9706/1216/products/B__140.jpg?v=1571776763,1,,FALSE,,,,,,,,,,,,,,,,,,,
Busbee Mcquade-men,the-cut-crew-black,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0087/9706/1216/products/B__140.jpg?v=1571776763,1,,,,,,,,,,,,,,,,,,,,,
