Collection,Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google selfuct Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
Feat-men,blanketblend-hoodie-9-sunsetlover,BlanketBlend Hoodie - SunsetLover,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>Our custom developed BlanketBlend fabric combines the comfort of cotton with the performance features of polyester finished off with a rare yarn amp ButterWash process to create a super soft durable hoodie for every occasion Super Soft Fluffy Outside Smooth Inside Hidden Accessories Pocket</sectionBody></section><section id=""2""><sectionTitle>Size &amp; Fit</sectionTitle><sectionBody>Click buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp; Returns</sectionTitle><sectionBody>Free shipping and returns for orders above $75</sectionBody></section></sections>",Feat-men,,"feat socks, the softest hoodies ever,  tab1 blanketblend size guide,  tab2 blanketblend fabric, blanket, blanketblend, brick, large, medium, small, soft, sunset, white, xl, xxl",,Title,Default Title,Link,https://featsocks.com/products/blanketblend-hoodie-9?variant=31459015589953,Sizes,"S,M,L,XL,XXL",,0,,deny,manual,118.00,,True,True,,https://cdn.shopify.com/s/files/1/0721/2253/products/IMG_0318_1800x1800_b3df2aa6-1594-44a5-8202-bec3d7673c90.jpg?v=1581054258,1,,FALSE,,,,,,,,,,,,,,,,,,,
Feat-men,blanketblend-hoodie-9-brick,BlanketBlend Hoodie - Brick,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>Our custom developed BlanketBlend fabric combines the comfort of cotton with the performance features of polyester finished off with a rare yarn amp ButterWash process to create a super soft durable hoodie for every occasion Super Soft Fluffy Outside Smooth Inside Hidden Accessories Pocket</sectionBody></section><section id=""2""><sectionTitle>Size &amp; Fit</sectionTitle><sectionBody>Click buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp; Returns</sectionTitle><sectionBody>Free shipping and returns for orders above $75</sectionBody></section></sections>",Feat-men,,"feat socks, the softest hoodies ever,  tab1 blanketblend size guide,  tab2 blanketblend fabric, blanket, blanketblend, brick, large, medium, small, soft, sunset, white, xl, xxl",,Title,Default Title,Link,https://featsocks.com/products/blanketblend-hoodie-9?variant=31459015458881,Sizes,"S,M,L,XL,XXL",,0,,deny,manual,118.00,,True,True,,https://cdn.shopify.com/s/files/1/0721/2253/products/feathood-2-s1_1fe3641b-3f0b-40c7-9524-28baa72cca57.jpg?v=1581054258,1,,FALSE,,,,,,,,,,,,,,,,,,,
Feat-men,blanketblend-hoodie-9-hazyblack,BlanketBlend Hoodie - HazyBlack,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>Our custom developed BlanketBlend fabric combines the comfort of cotton with the performance features of polyester finished off with a rare yarn amp ButterWash process to create a super soft durable hoodie for every occasion Super Soft Fluffy Outside Smooth Inside Hidden Accessories Pocket</sectionBody></section><section id=""2""><sectionTitle>Size &amp; Fit</sectionTitle><sectionBody>Click buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp; Returns</sectionTitle><sectionBody>Free shipping and returns for orders above $75</sectionBody></section></sections>",Feat-men,,"feat socks, the softest hoodies ever,  tab1 blanketblend size guide,  tab2 blanketblend fabric, blanket, blanketblend, brick, large, medium, small, soft, sunset, white, xl, xxl",,Title,Default Title,Link,https://featsocks.com/products/blanketblend-hoodie-9?variant=31459015557185,Sizes,"S,M,L,XL,XXL",,0,,deny,manual,118.00,,True,True,,https://cdn.shopify.com/s/files/1/0721/2253/products/hoodie-blck-s1_9e6ddf60-7d64-4136-bbe2-856e0516f411.jpg?v=1581054258,1,,FALSE,,,,,,,,,,,,,,,,,,,
Feat-men,blanketblend-hoodie-9-riflegreen,BlanketBlend Hoodie - RifleGreen,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>Our custom developed BlanketBlend fabric combines the comfort of cotton with the performance features of polyester finished off with a rare yarn amp ButterWash process to create a super soft durable hoodie for every occasion Super Soft Fluffy Outside Smooth Inside Hidden Accessories Pocket</sectionBody></section><section id=""2""><sectionTitle>Size &amp; Fit</sectionTitle><sectionBody>Click buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp; Returns</sectionTitle><sectionBody>Free shipping and returns for orders above $75</sectionBody></section></sections>",Feat-men,,"feat socks, the softest hoodies ever,  tab1 blanketblend size guide,  tab2 blanketblend fabric, blanket, blanketblend, brick, large, medium, small, soft, sunset, white, xl, xxl",,Title,Default Title,Link,https://featsocks.com/products/blanketblend-hoodie-9?variant=31459015491649,Sizes,"S,M,L,XL,XXL",,0,,deny,manual,118.00,,True,True,,https://cdn.shopify.com/s/files/1/0721/2253/products/feathood-1-s1_45d49b82-1a0f-474e-bbaf-dd0ff0bb7557.jpg?v=1581054258,1,,FALSE,,,,,,,,,,,,,,,,,,,
Feat-men,blanketblend-hoodie-9-sapphire,BlanketBlend Hoodie - Sapphire,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>Our custom developed BlanketBlend fabric combines the comfort of cotton with the performance features of polyester finished off with a rare yarn amp ButterWash process to create a super soft durable hoodie for every occasion Super Soft Fluffy Outside Smooth Inside Hidden Accessories Pocket</sectionBody></section><section id=""2""><sectionTitle>Size &amp; Fit</sectionTitle><sectionBody>Click buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp; Returns</sectionTitle><sectionBody>Free shipping and returns for orders above $75</sectionBody></section></sections>",Feat-men,,"feat socks, the softest hoodies ever,  tab1 blanketblend size guide,  tab2 blanketblend fabric, blanket, blanketblend, brick, large, medium, small, soft, sunset, white, xl, xxl",,Title,Default Title,Link,https://featsocks.com/products/blanketblend-hoodie-9?variant=31459015524417,Sizes,"S,M,L,XL,XXL",,0,,deny,manual,118.00,,True,True,,https://cdn.shopify.com/s/files/1/0721/2253/products/hoodie-navy-s1_46b45548-f5fc-4a3e-88f7-e4a89b9af695.jpg?v=1581054258,1,,FALSE,,,,,,,,,,,,,,,,,,,
Feat-men,blanketblend-hoodie-9-moss,BlanketBlend Hoodie - Moss,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>Our custom developed BlanketBlend fabric combines the comfort of cotton with the performance features of polyester finished off with a rare yarn amp ButterWash process to create a super soft durable hoodie for every occasion Super Soft Fluffy Outside Smooth Inside Hidden Accessories Pocket</sectionBody></section><section id=""2""><sectionTitle>Size &amp; Fit</sectionTitle><sectionBody>Click buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp; Returns</sectionTitle><sectionBody>Free shipping and returns for orders above $75</sectionBody></section></sections>",Feat-men,,"feat socks, the softest hoodies ever,  tab1 blanketblend size guide,  tab2 blanketblend fabric, blanket, blanketblend, brick, large, medium, small, soft, sunset, white, xl, xxl",,Title,Default Title,Link,https://featsocks.com/products/blanketblend-hoodie-9?variant=31459015426113,Sizes,"S,M,L,XL,XXL",,0,,deny,manual,118.00,,True,True,,https://cdn.shopify.com/s/files/1/0721/2253/products/moss-adjusted_0b160773-fd88-4b98-83fe-be1927c06ba6.jpg?v=1581054258,1,,FALSE,,,,,,,,,,,,,,,,,,,
Feat-men,blanketblend-hoodie-9-nuderose,BlanketBlend Hoodie - NudeRose,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>Our custom developed BlanketBlend fabric combines the comfort of cotton with the performance features of polyester finished off with a rare yarn amp ButterWash process to create a super soft durable hoodie for every occasion Super Soft Fluffy Outside Smooth Inside Hidden Accessories Pocket</sectionBody></section><section id=""2""><sectionTitle>Size &amp; Fit</sectionTitle><sectionBody>Click buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp; Returns</sectionTitle><sectionBody>Free shipping and returns for orders above $75</sectionBody></section></sections>",Feat-men,,"feat socks, the softest hoodies ever,  tab1 blanketblend size guide,  tab2 blanketblend fabric, blanket, blanketblend, brick, large, medium, small, soft, sunset, white, xl, xxl",,Title,Default Title,Link,https://featsocks.com/products/blanketblend-hoodie-9?variant=31459015360577,Sizes,"S,M,L,XL,XXL",,0,,deny,manual,118.00,,True,True,,https://cdn.shopify.com/s/files/1/0721/2253/products/feat-hoodie-1-s1_5bde1770-bac7-45e4-ad38-8cfc7255d2e9.jpg?v=1581054258,1,,FALSE,,,,,,,,,,,,,,,,,,,
Feat-men,blanketblend-hoodie-9-burrblue,BlanketBlend Hoodie - BurrBlue,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>Our custom developed BlanketBlend fabric combines the comfort of cotton with the performance features of polyester finished off with a rare yarn amp ButterWash process to create a super soft durable hoodie for every occasion Super Soft Fluffy Outside Smooth Inside Hidden Accessories Pocket</sectionBody></section><section id=""2""><sectionTitle>Size &amp; Fit</sectionTitle><sectionBody>Click buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp; Returns</sectionTitle><sectionBody>Free shipping and returns for orders above $75</sectionBody></section></sections>",Feat-men,,"feat socks, the softest hoodies ever,  tab1 blanketblend size guide,  tab2 blanketblend fabric, blanket, blanketblend, brick, large, medium, small, soft, sunset, white, xl, xxl",,Title,Default Title,Link,https://featsocks.com/products/blanketblend-hoodie-9?variant=31459015393345,Sizes,"S,M,L,XL,XXL",,0,,deny,manual,118.00,,True,True,,https://cdn.shopify.com/s/files/1/0721/2253/products/burr-adjust_b975142f-652d-4b27-9808-994a8a5829a6.jpg?v=1581054258,1,,FALSE,,,,,,,,,,,,,,,,,,,
Feat-men,blanketblend-hoodie-9-oatmilk,BlanketBlend Hoodie - Oatmilk,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>Our custom developed BlanketBlend fabric combines the comfort of cotton with the performance features of polyester finished off with a rare yarn amp ButterWash process to create a super soft durable hoodie for every occasion Super Soft Fluffy Outside Smooth Inside Hidden Accessories Pocket</sectionBody></section><section id=""2""><sectionTitle>Size &amp; Fit</sectionTitle><sectionBody>Click buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp; Returns</sectionTitle><sectionBody>Free shipping and returns for orders above $75</sectionBody></section></sections>",Feat-men,,"feat socks, the softest hoodies ever,  tab1 blanketblend size guide,  tab2 blanketblend fabric, blanket, blanketblend, brick, large, medium, small, soft, sunset, white, xl, xxl",,Title,Default Title,Link,https://featsocks.com/products/blanketblend-hoodie-9?variant=31459015327809,Sizes,"S,M,L,XL,XXL",,0,,deny,manual,118.00,,True,True,,https://cdn.shopify.com/s/files/1/0721/2253/products/hoodie-oat-s1_42e1f6f1-80fd-406c-b636-eae76d15c842.jpg?v=1581054258,1,,FALSE,,,,,,,,,,,,,,,,,,,
Feat-men,blanketblend-hoodie-9-arcticwhite,BlanketBlend Hoodie - ArcticWhite,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>Our custom developed BlanketBlend fabric combines the comfort of cotton with the performance features of polyester finished off with a rare yarn amp ButterWash process to create a super soft durable hoodie for every occasion Super Soft Fluffy Outside Smooth Inside Hidden Accessories Pocket</sectionBody></section><section id=""2""><sectionTitle>Size &amp; Fit</sectionTitle><sectionBody>Click buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp; Returns</sectionTitle><sectionBody>Free shipping and returns for orders above $75</sectionBody></section></sections>",Feat-men,,"feat socks, the softest hoodies ever,  tab1 blanketblend size guide,  tab2 blanketblend fabric, blanket, blanketblend, brick, large, medium, small, soft, sunset, white, xl, xxl",,Title,Default Title,Link,https://featsocks.com/products/blanketblend-hoodie-9?variant=31459015295041,Sizes,"S,M,L,XL,XXL",,0,,deny,manual,118.00,,True,True,,https://cdn.shopify.com/s/files/1/0721/2253/products/feat-white-hoodie-s1_e8ddbfd4-a700-49b5-a80f-96cd8690bee3.jpg?v=1581054258,1,,FALSE,,,,,,,,,,,,,,,,,,,
