Collection,Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google selfuct Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
,saint-malo-square-eyeglasses-brut clear,Saint Malo - Brut / Clear,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>Featuring a slightly horned temple keyhole bridge and a rounded silhouette the Saint Malo ensures a relaxed fit and laid back demeanor</sectionBody></section><section id=""2""><sectionTitle>Size &amp; Fit</sectionTitle><sectionBody>Click buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp; Returns</sectionTitle><sectionBody>Free returns + 2 day shipping on U.S. orders $150+</sectionBody></section></sections>",Raen-men,eyeglasses,"raenus, eyeglasses, acetate, bis hidden, colorgroup black, colorgroup crystal, colorgroup tortoise, eyeglasses, face shape round, filter by men, filter by women, fit narrow, frame finish matte, frame finish polished, frame shape rectangle, frame shape square, gender unisex, lens color clear, material acetate, men, new, polarized non polarized, shop, unisex, women",,Title,Default Title,Link,https://raen.com/products/saint-malo-square-eyeglasses?variant=14074954580029,Sizes,48,,50,,deny,manual,140,140,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0008/6156/9085/products/RAEN_SAINTMALO48_Brut_01.jpg?v=1553207868,1,,FALSE,,,,,,,,,,,,,,,,,,,
,saint-malo-square-eyeglasses-brut clear,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0008/6156/9085/products/RAEN_SAINTMALO48_Brut_03.jpg?v=1553207868,3,,,,,,,,,,,,,,,,,,,,,
,saint-malo-square-eyeglasses-fog crystal,Saint Malo - Fog Crystal,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>Featuring a slightly horned temple keyhole bridge and a rounded silhouette the Saint Malo ensures a relaxed fit and laid back demeanor</sectionBody></section><section id=""2""><sectionTitle>Size &amp; Fit</sectionTitle><sectionBody>Click buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp; Returns</sectionTitle><sectionBody>Free returns + 2 day shipping on U.S. orders $150+</sectionBody></section></sections>",Raen-men,eyeglasses,"raenus, eyeglasses, acetate, bis hidden, colorgroup black, colorgroup crystal, colorgroup tortoise, eyeglasses, face shape round, filter by men, filter by women, fit narrow, frame finish matte, frame finish polished, frame shape rectangle, frame shape square, gender unisex, lens color clear, material acetate, men, new, polarized non polarized, shop, unisex, women",,Title,Default Title,Link,https://raen.com/products/saint-malo-square-eyeglasses?variant=12656411148349,Sizes,"51,48",,50,,deny,manual,140,140,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0008/6156/9085/products/saint-malo-48-eyeglasses-crystal-SAINT_MALO_Rx-STM-132-CLR-CRL-ALL-0.jpg-efd7.jpg?v=1553207868,1,,FALSE,,,,,,,,,,,,,,,,,,,
,saint-malo-square-eyeglasses-fog crystal,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0008/6156/9085/products/saint-malo-48-eyeglasses-crystal-SAINT_MALO_Rx-STM-132-CLR-CRL-ALL-default-0-3458.jpg?v=1553207868,2,,,,,,,,,,,,,,,,,,,,,
,saint-malo-square-eyeglasses-fog crystal,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0008/6156/9085/products/saint-malo-48-eyeglasses-crystal-SAINT_MALO_Rx-STM-132-CLR-CRL-ALL-default-1-560f.jpg?v=1553207868,3,,,,,,,,,,,,,,,,,,,,,
,saint-malo-square-eyeglasses-fog crystal,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0008/6156/9085/products/Rx.jpg?v=1553207868,4,,,,,,,,,,,,,,,,,,,,,
,saint-malo-square-eyeglasses-bengal tortoise,Saint Malo - Bengal Tortoise,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>Featuring a slightly horned temple keyhole bridge and a rounded silhouette the Saint Malo ensures a relaxed fit and laid back demeanor</sectionBody></section><section id=""2""><sectionTitle>Size &amp; Fit</sectionTitle><sectionBody>Click buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp; Returns</sectionTitle><sectionBody>Free returns + 2 day shipping on U.S. orders $150+</sectionBody></section></sections>",Raen-men,eyeglasses,"raenus, eyeglasses, acetate, bis hidden, colorgroup black, colorgroup crystal, colorgroup tortoise, eyeglasses, face shape round, filter by men, filter by women, fit narrow, frame finish matte, frame finish polished, frame shape rectangle, frame shape square, gender unisex, lens color clear, material acetate, men, new, polarized non polarized, shop, unisex, women",,Title,Default Title,Link,https://raen.com/products/saint-malo-square-eyeglasses?variant=7459480076349,Sizes,51,,50,,deny,manual,140,140,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0008/6156/9085/products/88e7f48efdaad8cf840d2088af7dc8ad_b1dd3369-ec37-4f5e-826c-69420ea20f35.jpg?v=1553207868,1,,FALSE,,,,,,,,,,,,,,,,,,,
,saint-malo-square-eyeglasses-bengal tortoise,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0008/6156/9085/products/94bb637e156663704324073f697e80c0_fb8b4f7a-001e-41cc-98dd-2f8022b83948.jpg?v=1553207868,2,,,,,,,,,,,,,,,,,,,,,
,saint-malo-square-eyeglasses-bengal tortoise,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0008/6156/9085/products/8f1ccd6e07ac0ecd9c8422e6c14cb3c0_8132ab7e-52e2-4310-94cb-1cdcc487cf70.jpg?v=1553207868,3,,,,,,,,,,,,,,,,,,,,,
,saint-malo-square-eyeglasses-bengal tortoise,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0008/6156/9085/products/781c8515ee07acf536f00e8e8b49e57d_5b3c8623-0da3-4a2f-910f-21d65794744e.jpg?v=1553207868,4,,,,,,,,,,,,,,,,,,,,,
