Collection,Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google selfuct Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
,blanketblend-men-bundle-marble-bluesky,BlanketBlend Men Bundle - Marble/BlueSky,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>Our custom developed BlanketBlend fabric combines the comfort of cotton with the performance features of polyester finished off with a rare yarn amp ButterWash process to create a super soft durable hoodie for every occasion Super Soft Fluffy Outside Smooth Inside Hidden Accessories Pocket Breathable Warm BlanketBlend Fabric</sectionBody></section><section id=""2""><sectionTitle>Size &amp;amp; Fit</sectionTitle><sectionBody>Click buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp;amp; Returns</sectionTitle><sectionBody>Free shipping and returns for orders above $75</sectionBody></section><sizes><size instock=""true""><string>S</string><variant>31594440294465</variant></size><size instock=""true""><string>M</string><variant>31594440327233</variant></size><size instock=""true""><string>L</string><variant>31594440360001</variant></size><size instock=""true""><string>XL</string><variant>31594440392769</variant></size><size instock=""true""><string>XXL</string><variant>31594440425537</variant></size></sizes></sections>",Feat-men,men,"feat, blanketblend, blanketblend, bundle, deal, hoodies, l, m, no-returns, nuderose, package, s, sale, xl, xxl",,Title,Default Title,Link,https://featsocks.com/products/blanketblend-men-bundle?variant=31594440294465,,,,0,,deny,manual,199.00,236.00,True,True,,https://cdn.shopify.com/s/files/1/0721/2253/products/marble_and_sky_blue_ae1cf661-ccc7-4f66-bbb6-23de9a86dd01.png?v=1584615655,1,,FALSE,,,,,,,,,,,,,,,,,,,
,blanketblend-men-bundle-marble-bluesky,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0721/2253/products/sapphire_and_nuderose_2ed37eab-9762-4b69-956a-f392098838be.png?v=1584615662,2
,blanketblend-men-bundle-hazyblack-nuderose,BlanketBlend Men Bundle - HazyBlack/NudeRose,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>Our custom developed BlanketBlend fabric combines the comfort of cotton with the performance features of polyester finished off with a rare yarn amp ButterWash process to create a super soft durable hoodie for every occasion Super Soft Fluffy Outside Smooth Inside Hidden Accessories Pocket Breathable Warm BlanketBlend Fabric</sectionBody></section><section id=""2""><sectionTitle>Size &amp;amp; Fit</sectionTitle><sectionBody>Click buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp;amp; Returns</sectionTitle><sectionBody>Free shipping and returns for orders above $75</sectionBody></section><sizes><size instock=""true""><string>S</string><variant>31594440785985</variant></size><size instock=""true""><string>M</string><variant>31594440818753</variant></size><size instock=""true""><string>L</string><variant>31594440851521</variant></size><size instock=""true""><string>XL</string><variant>31594440884289</variant></size><size instock=""true""><string>XXL</string><variant>31594440917057</variant></size></sizes></sections>",Feat-men,men,"feat, blanketblend, blanketblend, bundle, deal, hoodies, l, m, no-returns, nuderose, package, s, sale, xl, xxl",,Title,Default Title,Link,https://featsocks.com/products/blanketblend-men-bundle?variant=31594440785985,,,,0,,deny,manual,199.00,236.00,True,True,,https://cdn.shopify.com/s/files/1/0721/2253/products/sapphire_and_nuderose_2ed37eab-9762-4b69-956a-f392098838be.png?v=1584615662,1,,FALSE,,,,,,,,,,,,,,,,,,,
,blanketblend-men-bundle-arcticwhite-bluesky,BlanketBlend Men Bundle - ArcticWhite/BlueSky,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>Our custom developed BlanketBlend fabric combines the comfort of cotton with the performance features of polyester finished off with a rare yarn amp ButterWash process to create a super soft durable hoodie for every occasion Super Soft Fluffy Outside Smooth Inside Hidden Accessories Pocket Breathable Warm BlanketBlend Fabric</sectionBody></section><section id=""2""><sectionTitle>Size &amp;amp; Fit</sectionTitle><sectionBody>Click buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp;amp; Returns</sectionTitle><sectionBody>Free shipping and returns for orders above $75</sectionBody></section><sizes><size instock=""true""><string>S</string><variant>31594440949825</variant></size><size instock=""true""><string>M</string><variant>31594440982593</variant></size><size instock=""true""><string>L</string><variant>31594441015361</variant></size><size instock=""false""><string>XL</string><variant>31594441048129</variant></size><size instock=""true""><string>XXL</string><variant>31594441080897</variant></size></sizes></sections>",Feat-men,men,"feat, blanketblend, blanketblend, bundle, deal, hoodies, l, m, no-returns, nuderose, package, s, sale, xl, xxl",,Title,Default Title,Link,https://featsocks.com/products/blanketblend-men-bundle?variant=31594440949825,,,,0,,deny,manual,199.00,236.00,True,True,,https://cdn.shopify.com/s/files/1/0721/2253/products/arctic_white_and_sky_blue_e0eef593-edcd-47a8-869a-6b4dae3b3b9a.png?v=1584615666,1,,FALSE,,,,,,,,,,,,,,,,,,,
,blanketblend-men-bundle-arcticwhite-hazyblack,BlanketBlend Men Bundle - ArcticWhite/HazyBlack,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>Our custom developed BlanketBlend fabric combines the comfort of cotton with the performance features of polyester finished off with a rare yarn amp ButterWash process to create a super soft durable hoodie for every occasion Super Soft Fluffy Outside Smooth Inside Hidden Accessories Pocket Breathable Warm BlanketBlend Fabric</sectionBody></section><section id=""2""><sectionTitle>Size &amp;amp; Fit</sectionTitle><sectionBody>Click buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp;amp; Returns</sectionTitle><sectionBody>Free shipping and returns for orders above $75</sectionBody></section><sizes><size instock=""true""><string>S</string><variant>31594441113665</variant></size><size instock=""true""><string>M</string><variant>31594441146433</variant></size><size instock=""true""><string>L</string><variant>31594441179201</variant></size><size instock=""false""><string>XL</string><variant>31594441211969</variant></size><size instock=""true""><string>XXL</string><variant>31594441244737</variant></size></sizes></sections>",Feat-men,men,"feat, blanketblend, blanketblend, bundle, deal, hoodies, l, m, no-returns, nuderose, package, s, sale, xl, xxl",,Title,Default Title,Link,https://featsocks.com/products/blanketblend-men-bundle?variant=31594441113665,,,,0,,deny,manual,199.00,236.00,True,True,,https://cdn.shopify.com/s/files/1/0721/2253/products/arctic_white_and_hazy_black_67b998b8-e62c-416f-825e-893f26d8f20b.png?v=1584615668,1,,FALSE,,,,,,,,,,,,,,,,,,,
,blanketblend-men-bundle-pastelpebble-sapphire,BlanketBlend Men Bundle - PastelPebble/Sapphire,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>Our custom developed BlanketBlend fabric combines the comfort of cotton with the performance features of polyester finished off with a rare yarn amp ButterWash process to create a super soft durable hoodie for every occasion Super Soft Fluffy Outside Smooth Inside Hidden Accessories Pocket Breathable Warm BlanketBlend Fabric</sectionBody></section><section id=""2""><sectionTitle>Size &amp;amp; Fit</sectionTitle><sectionBody>Click buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp;amp; Returns</sectionTitle><sectionBody>Free shipping and returns for orders above $75</sectionBody></section><sizes><size instock=""true""><string>S</string><variant>31594441277505</variant></size><size instock=""true""><string>M</string><variant>31594441310273</variant></size><size instock=""true""><string>L</string><variant>31594441343041</variant></size><size instock=""true""><string>XL</string><variant>31594441375809</variant></size><size instock=""true""><string>XXL</string><variant>31594441408577</variant></size></sizes></sections>",Feat-men,men,"feat, blanketblend, blanketblend, bundle, deal, hoodies, l, m, no-returns, nuderose, package, s, sale, xl, xxl",,Title,Default Title,Link,https://featsocks.com/products/blanketblend-men-bundle?variant=31594441277505,,,,0,,deny,manual,199.00,236.00,True,True,,https://cdn.shopify.com/s/files/1/0721/2253/products/sapphire_and_pastel_pebble_2bdcba5b-75fb-4a1d-8a16-b1954e2fd672.png?v=1584615670,1,,FALSE,,,,,,,,,,,,,,,,,,,
,blanketblend-men-bundle-carmelswirl-nuderose,BlanketBlend Men Bundle - CarmelSwirl/NudeRose,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>Our custom developed BlanketBlend fabric combines the comfort of cotton with the performance features of polyester finished off with a rare yarn amp ButterWash process to create a super soft durable hoodie for every occasion Super Soft Fluffy Outside Smooth Inside Hidden Accessories Pocket Breathable Warm BlanketBlend Fabric</sectionBody></section><section id=""2""><sectionTitle>Size &amp;amp; Fit</sectionTitle><sectionBody>Click buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp;amp; Returns</sectionTitle><sectionBody>Free shipping and returns for orders above $75</sectionBody></section><sizes><size instock=""true""><string>S</string><variant>31594441441345</variant></size><size instock=""true""><string>M</string><variant>31594441474113</variant></size><size instock=""true""><string>L</string><variant>31594441506881</variant></size><size instock=""true""><string>XL</string><variant>31594441539649</variant></size><size instock=""true""><string>XXL</string><variant>31594441572417</variant></size></sizes></sections>",Feat-men,men,"feat, blanketblend, blanketblend, bundle, deal, hoodies, l, m, no-returns, nuderose, package, s, sale, xl, xxl",,Title,Default Title,Link,https://featsocks.com/products/blanketblend-men-bundle?variant=31594441441345,,,,0,,deny,manual,199.00,236.00,True,True,,https://cdn.shopify.com/s/files/1/0721/2253/products/carmel_swirl_and_nuderose_0bb6316c-cac8-4af8-b3de-6a33df737fb5.png?v=1584615672,1,,FALSE,,,,,,,,,,,,,,,,,,,
,blanketblend-bundle-men-marble-bluesky,BlanketBlend Bundle Men - Marble/BlueSky,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>Our custom developed BlanketBlend fabric combines the comfort of cotton with the performance features of polyester finished off with a rare yarn amp ButterWash process to create a super soft durable hoodie for every occasion Super Soft Fluffy Outside Smooth Inside Hidden Accessories Pocket Breathable Warm BlanketBlend Fabric</sectionBody></section><section id=""2""><sectionTitle>Size &amp;amp; Fit</sectionTitle><sectionBody>Click buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp;amp; Returns</sectionTitle><sectionBody>Free shipping and returns for orders above $75</sectionBody></section><sizes><size instock=""true""><string>S</string><variant>31594462740545</variant></size><size instock=""true""><string>M</string><variant>31594462773313</variant></size><size instock=""true""><string>L</string><variant>31594462806081</variant></size><size instock=""true""><string>XL</string><variant>31594462838849</variant></size><size instock=""true""><string>XXL</string><variant>31594462871617</variant></size></sizes></sections>",Feat-men,men,"feat, blanketblend, blanketblend, bundle, deal, hoodies, l, m, no-returns, nuderose, package, s, sale, xl, xxl",,Title,Default Title,Link,https://featsocks.com/products/blanketblend-bundle-men?variant=31594462740545,,,,0,,deny,manual,199.00,236.00,True,True,,https://cdn.shopify.com/s/files/1/0721/2253/products/marble_and_sky_blue_6bd24d4e-72ab-4db4-850b-2f0389332454.png?v=1584616535,1,,FALSE,,,,,,,,,,,,,,,,,,,
,blanketblend-bundle-men-nuderose-oatmilk,BlanketBlend Bundle Men - NudeRose/Oatmilk,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>Our custom developed BlanketBlend fabric combines the comfort of cotton with the performance features of polyester finished off with a rare yarn amp ButterWash process to create a super soft durable hoodie for every occasion Super Soft Fluffy Outside Smooth Inside Hidden Accessories Pocket Breathable Warm BlanketBlend Fabric</sectionBody></section><section id=""2""><sectionTitle>Size &amp;amp; Fit</sectionTitle><sectionBody>Click buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp;amp; Returns</sectionTitle><sectionBody>Free shipping and returns for orders above $75</sectionBody></section><sizes><size instock=""true""><string>S</string><variant>31594462904385</variant></size><size instock=""true""><string>M</string><variant>31594462937153</variant></size><size instock=""true""><string>L</string><variant>31594462969921</variant></size><size instock=""true""><string>XL</string><variant>31594463002689</variant></size><size instock=""true""><string>XXL</string><variant>31594463035457</variant></size></sizes></sections>",Feat-men,men,"feat, blanketblend, blanketblend, bundle, deal, hoodies, l, m, no-returns, nuderose, package, s, sale, xl, xxl",,Title,Default Title,Link,https://featsocks.com/products/blanketblend-bundle-men?variant=31594462904385,,,,0,,deny,manual,199.00,236.00,True,True,,https://cdn.shopify.com/s/files/1/0721/2253/products/nuderose_and_oatmilk_e2298ded-99ef-4acf-a221-22204dd21c76.png?v=1584616537,1,,FALSE,,,,,,,,,,,,,,,,,,,
,blanketblend-bundle-men-hazyblack-moss,BlanketBlend Bundle Men - HazyBlack/Moss,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>Our custom developed BlanketBlend fabric combines the comfort of cotton with the performance features of polyester finished off with a rare yarn amp ButterWash process to create a super soft durable hoodie for every occasion Super Soft Fluffy Outside Smooth Inside Hidden Accessories Pocket Breathable Warm BlanketBlend Fabric</sectionBody></section><section id=""2""><sectionTitle>Size &amp;amp; Fit</sectionTitle><sectionBody>Click buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp;amp; Returns</sectionTitle><sectionBody>Free shipping and returns for orders above $75</sectionBody></section><sizes><size instock=""true""><string>S</string><variant>31594463068225</variant></size><size instock=""true""><string>M</string><variant>31594463100993</variant></size><size instock=""true""><string>L</string><variant>31594463133761</variant></size><size instock=""true""><string>XL</string><variant>31594463166529</variant></size><size instock=""true""><string>XXL</string><variant>31594463199297</variant></size></sizes></sections>",Feat-men,men,"feat, blanketblend, blanketblend, bundle, deal, hoodies, l, m, no-returns, nuderose, package, s, sale, xl, xxl",,Title,Default Title,Link,https://featsocks.com/products/blanketblend-bundle-men?variant=31594463068225,,,,0,,deny,manual,199.00,236.00,True,True,,https://cdn.shopify.com/s/files/1/0721/2253/products/sapphire_and_MOSS_fc632170-b80f-4061-9f56-2b5c7c5aaeb1.png?v=1584616538,1,,FALSE,,,,,,,,,,,,,,,,,,,
