Collection,Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google selfuct Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
,mountain-overshirt-blue-plaid,Mountain Overshirt - Blue Plaid,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>This incredibly soft heavyweight twill feels like a knit and layers like a jacket Thick yarns make it perfect for the outdoors The Mountain Shirt was intended to be taken anywhere It s finished off with an acid wash for a perfectly imperfect vintage look</sectionBody></section><section id=""2""><sectionTitle>Size &amp; Fit</sectionTitle><sectionBody>Click buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp; Returns</sectionTitle><sectionBody>Returns and exchanges for unwashed and unworn items in original condition will be accepted up to 30 days from the date of purchase.</sectionBody></section></sections>",The Normal Brand-men,woven,"the normal brand, new, cf size l, cf size m, cf size s, cf size xl, cf size xxl, fall 2018, fall 2019, overshirt, shirt jacket, shirtjacket, shirts, outerwear, button up shirts",,Title,Default Title,Link,https://thenormalbrand.com/products/mountain-overshirt-blue-plaid,Sizes,"S,M,L,XL,XXL",,454,,deny,manual,118,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0749/3241/products/NB_Fall19_Web-273.png?v=1568668140,1,,FALSE,,,,,,,,,,,,,,,,,,,
,mountain-overshirt-blue-plaid,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0749/3241/products/NB_Fall19_Web-268.png?v=1568668140,2,,,,,,,,,,,,,,,,,,,,,
,mountain-overshirt-blue-plaid,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0749/3241/products/NB_Fall19_Web-275.png?v=1568668140,3,,,,,,,,,,,,,,,,,,,,,
,mountain-overshirt-blue-plaid,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0749/3241/products/NB_Fall19_Web-264.png?v=1568668140,4,,,,,,,,,,,,,,,,,,,,,
,mountain-overshirt-blue-plaid,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0749/3241/products/NB_Fall19_Web-265.png?v=1568668140,5,,,,,,,,,,,,,,,,,,,,,
,mountain-overshirt-charcoal,Mountain Overshirt - Charcoal,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>This incredibly soft heavyweight twill feels like a knit and layers like a jacket Thick yarns make it perfect for the outdoors The Mountain Shirt was intended to be taken anywhere It s finished off with an acid wash for a perfectly imperfect vintage look</sectionBody></section><section id=""2""><sectionTitle>Size &amp; Fit</sectionTitle><sectionBody>Click buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp; Returns</sectionTitle><sectionBody>Returns and exchanges for unwashed and unworn items in original condition will be accepted up to 30 days from the date of purchase.</sectionBody></section></sections>",The Normal Brand-men,woven,"the normal brand, new, 1sale, cf size l, cf size m, cf size s, cf size xl, cf size xxl, fall 2018, fall 2019, overshirt, shirt jacket, shirtjacket, ws 20, shirts, outerwear, button up shirts",,Title,Default Title,Link,https://thenormalbrand.com/products/mountain-overshirt-charcoal,Sizes,"S,M,L,XL,XXL",,454,,deny,manual,65,118,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0749/3241/products/1_60361d63-2f49-4a90-bd88-8754bb012374.jpg?v=1576856278,1,,FALSE,,,,,,,,,,,,,,,,,,,
,mountain-overshirt-charcoal,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0749/3241/products/2_d16a671e-2256-44ef-a9b4-00f716d6f7f1.jpg?v=1576856278,2,,,,,,,,,,,,,,,,,,,,,
,mountain-overshirt-charcoal,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0749/3241/products/charcoal_copy.jpg?v=1575923977,3,,,,,,,,,,,,,,,,,,,,,
,mountain-overshirt-tan-plaid,Mountain Overshirt - Tan Plaid,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>This incredibly soft heavyweight twill feels like a knit and layers like a jacket Thick yarns make it perfect for the outdoors The Mountain Shirt was intended to be taken anywhere It s finished off with an acid wash for a perfectly imperfect vintage look</sectionBody></section><section id=""2""><sectionTitle>Size &amp; Fit</sectionTitle><sectionBody>Click buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp; Returns</sectionTitle><sectionBody>Returns and exchanges for unwashed and unworn items in original condition will be accepted up to 30 days from the date of purchase.</sectionBody></section></sections>",The Normal Brand-men,woven,"the normal brand, new, 1sale, cf size l, cf size m, cf size s, cf size xl, cf size xxl, fall 2018, fall 2019, overshirt, shirt jacket, shirtjacket, ws 20, shirts, outerwear, button up shirts",,Title,Default Title,Link,https://thenormalbrand.com/products/mountain-overshirt-tan-plaid,Sizes,"S,M,L,XL,XXL",,454,,deny,manual,65,118,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0749/3241/products/NB_Fall19_Web-161.png?v=1573228049,1,,FALSE,,,,,,,,,,,,,,,,,,,
,mountain-overshirt-tan-plaid,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0749/3241/products/NB_Fall19_Web-165.png?v=1573228049,2,,,,,,,,,,,,,,,,,,,,,
